"FHIR Resource","Claim or Coverage Types","CCW Source Column Name","Extension Name","Extension Description","FHIR R4 Mapping","Extension Info"
"Coverage","Part-D","PTD_CNTRCT_ID_03","Part D Contract Number - March (Current Year)","This variable is the Medicare Part C contract number for the beneficiary’s Medicare Advantage (MA) plan for a given month (January through December). CMS assigns an identifier to each contract that a managed care plan has with CMS.","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/ptdcntrct03'"
"Coverage","Part-D","PTD_CNTRCT_ID_03","Part D Contract Number - March (Historic)","This variable is the Medicare Part C contract number for the beneficiary’s Medicare Advantage (MA) plan for a given month (January through December). CMS assigns an identifier to each contract that a managed care plan has with CMS.","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/ptdcntrct03-<year>-3'"
"Coverage","Part-D","PTD_CNTRCT_ID_04","Part D Contract Number - April (Current Year)","This variable is the Medicare Part C contract number for the beneficiary’s Medicare Advantage (MA) plan for a given month (January through December). CMS assigns an identifier to each contract that a managed care plan has with CMS.","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/ptdcntrct04'"
"Coverage","Part-D","PTD_CNTRCT_ID_04","Part D Contract Number - April (Historic)","This variable is the Medicare Part C contract number for the beneficiary’s Medicare Advantage (MA) plan for a given month (January through December). CMS assigns an identifier to each contract that a managed care plan has with CMS.","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/ptdcntrct04-<year>-4'"
"Coverage","Part-D","PTD_CNTRCT_ID_05","Part D Contract Number - May (Current Year)","This variable is the Medicare Part C contract number for the beneficiary’s Medicare Advantage (MA) plan for a given month (January through December). CMS assigns an identifier to each contract that a managed care plan has with CMS.","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/ptdcntrct05'"
"Coverage","Part-D","PTD_CNTRCT_ID_05","Part D Contract Number - May (Historic)","This variable is the Medicare Part C contract number for the beneficiary’s Medicare Advantage (MA) plan for a given month (January through December). CMS assigns an identifier to each contract that a managed care plan has with CMS.","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/ptdcntrct05-<year>-5'"
"Coverage","Part-D","PTD_CNTRCT_ID_06","Part D Contract Number - June (Current Year)","This variable is the Medicare Part C contract number for the beneficiary’s Medicare Advantage (MA) plan for a given month (January through December). CMS assigns an identifier to each contract that a managed care plan has with CMS.","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/ptdcntrct06'"
"Coverage","Part-D","PTD_CNTRCT_ID_06","Part D Contract Number - June (Historic)","This variable is the Medicare Part C contract number for the beneficiary’s Medicare Advantage (MA) plan for a given month (January through December). CMS assigns an identifier to each contract that a managed care plan has with CMS.","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/ptdcntrct06-<year>-6'"
"Coverage","Part-D","PTD_CNTRCT_ID_07","Part D Contract Number - July (Current Year)","This variable is the Medicare Part C contract number for the beneficiary’s Medicare Advantage (MA) plan for a given month (January through December). CMS assigns an identifier to each contract that a managed care plan has with CMS.","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/ptdcntrct07'"
"Coverage","Part-D","PTD_CNTRCT_ID_07","Part D Contract Number - July (Historic)","This variable is the Medicare Part C contract number for the beneficiary’s Medicare Advantage (MA) plan for a given month (January through December). CMS assigns an identifier to each contract that a managed care plan has with CMS.","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/ptdcntrct07-<year>-7'"
"Coverage","Part-D","PTD_CNTRCT_ID_08","Part D Contract Number - August (Current Year)","This variable is the Medicare Part C contract number for the beneficiary’s Medicare Advantage (MA) plan for a given month (January through December). CMS assigns an identifier to each contract that a managed care plan has with CMS.","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/ptdcntrct08'"
"Coverage","Part-D","PTD_CNTRCT_ID_08","Part D Contract Number - August (Historic)","This variable is the Medicare Part C contract number for the beneficiary’s Medicare Advantage (MA) plan for a given month (January through December). CMS assigns an identifier to each contract that a managed care plan has with CMS.","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/ptdcntrct08-<year>-8'"
"Coverage","Part-D","PTD_CNTRCT_ID_09","Part D Contract Number - September (Current Year)","This variable is the Medicare Part C contract number for the beneficiary’s Medicare Advantage (MA) plan for a given month (January through December). CMS assigns an identifier to each contract that a managed care plan has with CMS.","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/ptdcntrct09'"
"Coverage","Part-D","PTD_CNTRCT_ID_09","Part D Contract Number - September (Historic)","This variable is the Medicare Part C contract number for the beneficiary’s Medicare Advantage (MA) plan for a given month (January through December). CMS assigns an identifier to each contract that a managed care plan has with CMS.","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/ptdcntrct09-<year>-9'"
"Coverage","Part-D","PTD_CNTRCT_ID_10","Part D Contract Number - October (Current Year)","This variable is the Medicare Part C contract number for the beneficiary’s Medicare Advantage (MA) plan for a given month (January through December). CMS assigns an identifier to each contract that a managed care plan has with CMS.","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/ptdcntrct10'"
"Coverage","Part-D","PTD_CNTRCT_ID_10","Part D Contract Number - October (Historic)","This variable is the Medicare Part C contract number for the beneficiary’s Medicare Advantage (MA) plan for a given month (January through December). CMS assigns an identifier to each contract that a managed care plan has with CMS.","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/ptdcntrct10-<year>-10'"
"Coverage","Part-D","PTD_CNTRCT_ID_11","Part D Contract Number - November (Current Year)","This variable is the Medicare Part C contract number for the beneficiary’s Medicare Advantage (MA) plan for a given month (January through December). CMS assigns an identifier to each contract that a managed care plan has with CMS.","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/ptdcntrct11'"
"Coverage","Part-D","PTD_CNTRCT_ID_11","Part D Contract Number - November (Historic)","This variable is the Medicare Part C contract number for the beneficiary’s Medicare Advantage (MA) plan for a given month (January through December). CMS assigns an identifier to each contract that a managed care plan has with CMS.","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/ptdcntrct11-<year>-11'"
"Coverage","Part-D","PTD_CNTRCT_ID_12","Part D Contract Number - December (Current Year)","This variable is the Medicare Part C contract number for the beneficiary’s Medicare Advantage (MA) plan for a given month (January through December). CMS assigns an identifier to each contract that a managed care plan has with CMS.","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/ptdcntrct12'"
"Coverage","Part-D","PTD_CNTRCT_ID_12","Part D Contract Number - December (Historic)","This variable is the Medicare Part C contract number for the beneficiary’s Medicare Advantage (MA) plan for a given month (January through December). CMS assigns an identifier to each contract that a managed care plan has with CMS.","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/ptdcntrct12-<year>-12'"
"Coverage","Part-D","PTD_PBP_ID_01","Part D PBP Number - January","The variable is the Part D plan benefit package (PBP) for the beneficiary’s Part D plan for a given month (January through December). CMS assigns an identifier to each PBP within a contract that a Part D plan sponsor has with CMS.","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/ptdpbpid01'"
"Coverage","Part-D","PTD_PBP_ID_02","Part D PBP Number - February","The variable is the Part D plan benefit package (PBP) for the beneficiary’s Part D plan for a given month (January through December). CMS assigns an identifier to each PBP within a contract that a Part D plan sponsor has with CMS.","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/ptdpbpid02'"
"Coverage","Part-D","PTD_PBP_ID_03","Part D PBP Number - March","The variable is the Part D plan benefit package (PBP) for the beneficiary’s Part D plan for a given month (January through December). CMS assigns an identifier to each PBP within a contract that a Part D plan sponsor has with CMS.","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/ptdpbpid03'"
"Coverage","Part-D","PTD_PBP_ID_04","Part D PBP Number - April","The variable is the Part D plan benefit package (PBP) for the beneficiary’s Part D plan for a given month (January through December). CMS assigns an identifier to each PBP within a contract that a Part D plan sponsor has with CMS.","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/ptdpbpid04'"
"Coverage","Part-D","PTD_PBP_ID_05","Part D PBP Number - May","The variable is the Part D plan benefit package (PBP) for the beneficiary’s Part D plan for a given month (January through December). CMS assigns an identifier to each PBP within a contract that a Part D plan sponsor has with CMS.","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/ptdpbpid05'"
"Coverage","Part-D","PTD_PBP_ID_06","Part D PBP Number - June","The variable is the Part D plan benefit package (PBP) for the beneficiary’s Part D plan for a given month (January through December). CMS assigns an identifier to each PBP within a contract that a Part D plan sponsor has with CMS.","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/ptdpbpid06'"
"Coverage","Part-D","PTD_PBP_ID_07","Part D PBP Number - July","The variable is the Part D plan benefit package (PBP) for the beneficiary’s Part D plan for a given month (January through December). CMS assigns an identifier to each PBP within a contract that a Part D plan sponsor has with CMS.","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/ptdpbpid07'"
"Coverage","Part-D","PTD_PBP_ID_08","Part D PBP Number - August","The variable is the Part D plan benefit package (PBP) for the beneficiary’s Part D plan for a given month (January through December). CMS assigns an identifier to each PBP within a contract that a Part D plan sponsor has with CMS.","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/ptdpbpid08'"
"Coverage","Part-D","PTD_PBP_ID_09","Part D PBP Number - September","The variable is the Part D plan benefit package (PBP) for the beneficiary’s Part D plan for a given month (January through December). CMS assigns an identifier to each PBP within a contract that a Part D plan sponsor has with CMS.","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/ptdpbpid09'"
"Coverage","Part-D","PTD_PBP_ID_10","Part D PBP Number - October","The variable is the Part D plan benefit package (PBP) for the beneficiary’s Part D plan for a given month (January through December). CMS assigns an identifier to each PBP within a contract that a Part D plan sponsor has with CMS.","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/ptdpbpid10'"
"Coverage","Part-D","PTD_PBP_ID_11","Part D PBP Number - November","The variable is the Part D plan benefit package (PBP) for the beneficiary’s Part D plan for a given month (January through December). CMS assigns an identifier to each PBP within a contract that a Part D plan sponsor has with CMS.","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/ptdpbpid11'"
"Coverage","Part-D","PTD_PBP_ID_12","Part D PBP Number - December","The variable is the Part D plan benefit package (PBP) for the beneficiary’s Part D plan for a given month (January through December). CMS assigns an identifier to each PBP within a contract that a Part D plan sponsor has with CMS.","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/ptdpbpid12'"
"Coverage","Part-D","PTD_SGMT_ID_01","Part D Segment Number - January","This variable is the segment number that CMS assigns to identify a geographic market segment or subdivision of a Part D plan; the segment number allows you to determine the market area covered by the plan. The variable describes the market segment for a given month (January through December).","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/sgmtid01'"
"Coverage","Part-D","PTD_SGMT_ID_02","Part D Segment Number - February","This variable is the segment number that CMS assigns to identify a geographic market segment or subdivision of a Part D plan; the segment number allows you to determine the market area covered by the plan. The variable describes the market segment for a given month (January through December).","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/sgmtid02'"
"Coverage","Part-D","PTD_SGMT_ID_03","Part D Segment Number - March","This variable is the segment number that CMS assigns to identify a geographic market segment or subdivision of a Part D plan; the segment number allows you to determine the market area covered by the plan. The variable describes the market segment for a given month (January through December).","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/sgmtid03'"
"Coverage","Part-D","PTD_SGMT_ID_04","Part D Segment Number - April","This variable is the segment number that CMS assigns to identify a geographic market segment or subdivision of a Part D plan; the segment number allows you to determine the market area covered by the plan. The variable describes the market segment for a given month (January through December).","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/sgmtid04'"
"Coverage","Part-D","PTD_SGMT_ID_05","Part D Segment Number - May","This variable is the segment number that CMS assigns to identify a geographic market segment or subdivision of a Part D plan; the segment number allows you to determine the market area covered by the plan. The variable describes the market segment for a given month (January through December).","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/sgmtid05'"
"Coverage","Part-D","PTD_SGMT_ID_06","Part D Segment Number - June","This variable is the segment number that CMS assigns to identify a geographic market segment or subdivision of a Part D plan; the segment number allows you to determine the market area covered by the plan. The variable describes the market segment for a given month (January through December).","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/sgmtid06'"
"Coverage","Part-D","PTD_SGMT_ID_07","Part D Segment Number - July","This variable is the segment number that CMS assigns to identify a geographic market segment or subdivision of a Part D plan; the segment number allows you to determine the market area covered by the plan. The variable describes the market segment for a given month (January through December).","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/sgmtid07'"
"Coverage","Part-D","PTD_SGMT_ID_08","Part D Segment Number - August","This variable is the segment number that CMS assigns to identify a geographic market segment or subdivision of a Part D plan; the segment number allows you to determine the market area covered by the plan. The variable describes the market segment for a given month (January through December).","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/sgmtid08'"
"Coverage","Part-D","PTD_SGMT_ID_09","Part D Segment Number - September","This variable is the segment number that CMS assigns to identify a geographic market segment or subdivision of a Part D plan; the segment number allows you to determine the market area covered by the plan. The variable describes the market segment for a given month (January through December).","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/sgmtid09'"
"Coverage","Part-D","PTD_SGMT_ID_10","Part D Segment Number - October","This variable is the segment number that CMS assigns to identify a geographic market segment or subdivision of a Part D plan; the segment number allows you to determine the market area covered by the plan. The variable describes the market segment for a given month (January through December).","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/sgmtid10'"
"Coverage","Part-D","PTD_SGMT_ID_11","Part D Segment Number - November","This variable is the segment number that CMS assigns to identify a geographic market segment or subdivision of a Part D plan; the segment number allows you to determine the market area covered by the plan. The variable describes the market segment for a given month (January through December).","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/sgmtid11'"
"Coverage","Part-D","PTD_SGMT_ID_12","Part D Segment Number - December","This variable is the segment number that CMS assigns to identify a geographic market segment or subdivision of a Part D plan; the segment number allows you to determine the market area covered by the plan. The variable describes the market segment for a given month (January through December).","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/sgmtid12'"
"Coverage","Part-D","RDS_IND_01","Monthly Part D Retiree Drug Subsidy Indicator — January - (01)","This variable indicates if the beneficiary was enrolled in an employer-sponsored prescription drug plan that qualified for Part D’s retiree drug subsidy (RDS) for a given month (January–December).","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/rdsnind01'"
"Coverage","Part-D","RDS_IND_02","Monthly Part D Retiree Drug Subsidy Indicator — February - (02)","This variable indicates if the beneficiary was enrolled in an employer-sponsored prescription drug plan that qualified for Part D’s retiree drug subsidy (RDS) for a given month (January–December).","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/rdsnind02'"
"Coverage","Part-D","RDS_IND_03","Monthly Part D Retiree Drug Subsidy Indicator — March - (03)","This variable indicates if the beneficiary was enrolled in an employer-sponsored prescription drug plan that qualified for Part D’s retiree drug subsidy (RDS) for a given month (January–December).","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/rdsnind03'"
"Coverage","Part-D","RDS_IND_04","Monthly Part D Retiree Drug Subsidy Indicator — April - (04)","This variable indicates if the beneficiary was enrolled in an employer-sponsored prescription drug plan that qualified for Part D’s retiree drug subsidy (RDS) for a given month (January–December).","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/rdsnind04'"
"Coverage","Part-D","RDS_IND_05","Monthly Part D Retiree Drug Subsidy Indicator — May - (05)","This variable indicates if the beneficiary was enrolled in an employer-sponsored prescription drug plan that qualified for Part D’s retiree drug subsidy (RDS) for a given month (January–December).","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/rdsnind05'"
"Coverage","Part-D","RDS_IND_06","Monthly Part D Retiree Drug Subsidy Indicator — June - (06)","This variable indicates if the beneficiary was enrolled in an employer-sponsored prescription drug plan that qualified for Part D’s retiree drug subsidy (RDS) for a given month (January–December).","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/rdsnind06'"
"Coverage","Part-D","RDS_IND_07","Monthly Part D Retiree Drug Subsidy Indicator — July - (07)","This variable indicates if the beneficiary was enrolled in an employer-sponsored prescription drug plan that qualified for Part D’s retiree drug subsidy (RDS) for a given month (January–December).","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/rdsnind07'"
"Coverage","Part-D","RDS_IND_08","Monthly Part D Retiree Drug Subsidy Indicator — August - (08)","This variable indicates if the beneficiary was enrolled in an employer-sponsored prescription drug plan that qualified for Part D’s retiree drug subsidy (RDS) for a given month (January–December).","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/rdsnind08'"
"Coverage","Part-D","RDS_IND_09","Monthly Part D Retiree Drug Subsidy Indicator — September - (09)","This variable indicates if the beneficiary was enrolled in an employer-sponsored prescription drug plan that qualified for Part D’s retiree drug subsidy (RDS) for a given month (January–December).","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/rdsnind09'"
"Coverage","Part-D","RDS_IND_10","Monthly Part D Retiree Drug Subsidy Indicator — October - (10)","This variable indicates if the beneficiary was enrolled in an employer-sponsored prescription drug plan that qualified for Part D’s retiree drug subsidy (RDS) for a given month (January–December).","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/rdsnind10'"
"Coverage","Part-D","RDS_IND_11","Monthly Part D Retiree Drug Subsidy Indicator — November - (11)","This variable indicates if the beneficiary was enrolled in an employer-sponsored prescription drug plan that qualified for Part D’s retiree drug subsidy (RDS) for a given month (January–December).","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/rdsnind11'"
"Coverage","Part-D","RDS_IND_12","Monthly Part D Retiree Drug Subsidy Indicator — December - (12)","This variable indicates if the beneficiary was enrolled in an employer-sponsored prescription drug plan that qualified for Part D’s retiree drug subsidy (RDS) for a given month (January–December).","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/rdsnind12'"
"ExplanationOfBenefit","Carrier;DME;","BETOS_CD","BETOS Code","The Berenson-Eggers type of service (BETOS) for the procedure code based on generally agreed upon clinically meaningful groupings of procedures and services.","eob.item[N].extension[N].valueCoding.code","eob.item[N].extension[N].valueCoding.system = 'https://bluebutton.cms.gov/resources/variables/betos_cd' AND/OR eob.item[N].extension[N].url = 'https://bluebutton.cms.gov/resources/variables/betos_cd'"
"ExplanationOfBenefit","Carrier;DME;","CARR_CLM_ENTRY_CD","Claim Entry Code","Carrier-generated code describing whether the Part B claim is an original debit; full credit; or replacement debit.","eob.extension[N].valueCoding.code","eob.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/carr_clm_entry_cd' AND/OR eob.extension[N].valueCoding.system = 'https://bluebutton.cms.gov/resources/variables/carr_clm_entry_cd'"
"ExplanationOfBenefit","Carrier;DME;","CARR_CLM_PMT_DNL_CD","Claim Payment Denial Code","The code on a non-institutional claim indicating who receives payment or if the claim was denied.","eob.extension[N].valueCoding.code","eob.extension[N].valueCoding.system = 'https://bluebutton.cms.gov/resources/variables/carr_clm_pmt_dnl_cd' AND/OR eob.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/carr_clm_pmt_dnl_cd'"
"ExplanationOfBenefit","Carrier;DME;","CARR_CLM_PRVDR_ASGNMT_IND_SW","Provider Assignement Indicator","Variable indicates whether or not the provider accepts assignment for the noninstitutional claim.","eob.extension[N].valueCoding.code","eob.extension[N].valueCoding.system = 'https://bluebutton.cms.gov/resources/variables/asgmntcd' AND/OR eob.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/asgmntcd'"
"ExplanationOfBenefit","Carrier;","CARR_LINE_ANSTHSA_UNIT_CNT","Anesthesia Unit Count","The base number of units assigned to the line item anesthesia procedure on the carrier claim (non-DMERC).","eob.item[N].extension[N].valueQuantity.value","eob.item[N].extension[N].url = 'https://bluebutton.cms.gov/resources/variables/carr_line_ansthsa_unit_cnt'"
"ExplanationOfBenefit","Carrier;","CARR_LINE_CLIA_LAB_NUM","CLIA Lab Number","The identification number assigned to the clinical laboratory providing services for the line item on the carrier claim (non-DMERC).","eob.item[N].locationCodeableConcept.extension[N].valueCoding.code","eob.item[N].locationCodeableConcept.extension[N].valueCoding.system = 'https://bluebutton.cms.gov/resources/variables/carr_line_clia_lab_num' AND/OR eob.item[N].locationCodeableConcept.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/carr_line_clia_lab_num'"
"ExplanationOfBenefit","Carrier;","CARR_LINE_MTUS_CD","Carrier MTUS Indicator Code","Code indicating the units associated with services needing unit reporting on the line item for the carrier claim (non-DMERC).","eob.item[N].extension[N].valueCoding.code","eob.item[N].extension[N].valueCoding.system = 'https://bluebutton.cms.gov/resources/variables/carr_line_mtus_cd' AND/OR eob.item[N].extension[N].url = 'https://bluebutton.cms.gov/resources/variables/carr_line_mtus_cd'"
"ExplanationOfBenefit","Carrier;","CARR_LINE_MTUS_CNT","Carrier MTUS Count","The count of the total units associated with services needing unit reporting such as transportation; miles; anesthesia time units; number of services; volume of oxygen or blood units.","eob.item[N].extension[N].valueQuantity.value","eob.item[N].extension[N].url = 'https://bluebutton.cms.gov/resources/variables/carr_line_mtus_cnt'"
"ExplanationOfBenefit","Carrier;","CARR_LINE_PRCNG_LCLTY_CD","Line Pricing Locality Code","Code denoting the carrier-specific locality used for pricing the service for this line item on the carrier claim (non-DMERC).","eob.item[N].locationCodeableConcept.extension[N].valueCoding.code","eob.item[N].locationCodeableConcept.extension[N].valueCoding.system = 'https://bluebutton.cms.gov/resources/variables/carr_line_prcng_lclty_cd' AND/OR eob.item[N].locationCodeableConcept.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/carr_line_prcng_lclty_cd'"
"ExplanationOfBenefit","Carrier;","CARR_LINE_PRVDR_TYPE_CD","Provider Type Code","Code identifying the type of provider furnishing the service for this line item on the carrier claim.","eob.careTeam[N].extension[N].valueCoding.code","eob.careTeam[N].extension[N].valueCoding.system = 'https://bluebutton.cms.gov/resources/variables/carr_line_prvdr_type_cd' AND/OR eob.careTeam[N].extension[N].url = 'https://bluebutton.cms.gov/resources/variables/carr_line_prvdr_type_cd'"
"ExplanationOfBenefit","Carrier;DME;","CARR_NUM","Carrier Number","The identification number assigned by CMS to a carrier authorized to process claims from a physician or supplier.","eob.extension[N].valueCoding.code","eob.extension[N].valueCoding.system = 'https://bluebutton.cms.gov/resources/variables/carr_num' AND/OR eob.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/carr_num'"
"ExplanationOfBenefit","Inpatient;Outpatient;SNF","CLAIM_QUERY_CODE","Claim Query Code","Code indicating the type of claim record being processed with respect to payment (debit/credit indicator; interim/final indicator).","eob.billablePeriod.extension[N].valueCoding.code","eob.billablePeriod.extension[N].valueCoding.system = 'https://bluebutton.cms.gov/resources/variables/claim_query_cd' eob.billablePeriod.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/claim_query_cd'"
"ExplanationOfBenefit","Carrier;DME;","CLM_CLNCL_TRIL_NUM","Clinical Trial Number","The number used to identify all items and line-item services provided to a beneficiary during their participation in a clinical trial.","eob.extension[N].valueCoding.code","eob.extension[N].valueCoding.system = 'https://bluebutton.cms.gov/resources/variables/clm_clncl_tril_num' AND/OR eob.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/clm_clncl_tril_num'"
"ExplanationOfBenefit","Inpatient;","CLM_E_POA_IND_SW1","External Diagnosis Code 1 Present On Admission","The present on admission (POA) indicator code associated with the diagnosis E codes (principal and secondary).","eob.diagnosis[N].extension[N].valueCoding.code","eob.diagnosis[N].extension[N].url = 'https://bluebutton.cms.gov/resources/variables/clm_e_poa_ind_sw1'"
"ExplanationOfBenefit","Inpatient;","CLM_E_POA_IND_SW10","External Diagnosis Code 10 Present On Admission","The present on admission (POA) indicator code associated with the diagnosis E codes (principal and secondary).","eob.diagnosis[N].extension[N].valueCoding.code","eob.diagnosis[N].extension[N].url = 'https://bluebutton.cms.gov/resources/variables/clm_e_poa_ind_sw10'"
"ExplanationOfBenefit","Inpatient;","CLM_E_POA_IND_SW11","External Diagnosis Code 11 Present On Admission","The present on admission (POA) indicator code associated with the diagnosis E codes (principal and secondary).","eob.diagnosis[N].extension[N].valueCoding.code","eob.diagnosis[N].extension[N].url = 'https://bluebutton.cms.gov/resources/variables/clm_e_poa_ind_sw11'"
"ExplanationOfBenefit","Inpatient;","CLM_E_POA_IND_SW12","External Diagnosis Code 12 Present On Admission","The present on admission (POA) indicator code associated with the diagnosis E codes (principal and secondary).","eob.diagnosis[N].extension[N].valueCoding.code","eob.diagnosis[N].extension[N].url = 'https://bluebutton.cms.gov/resources/variables/clm_e_poa_ind_sw12'"
"ExplanationOfBenefit","Inpatient;","CLM_E_POA_IND_SW2","External Diagnosis Code 2 Present On Admission","The present on admission (POA) indicator code associated with the diagnosis E codes (principal and secondary).","eob.diagnosis[N].extension[N].valueCoding.code","eob.diagnosis[N].extension[N].url = 'https://bluebutton.cms.gov/resources/variables/clm_e_poa_ind_sw2'"
"ExplanationOfBenefit","Inpatient;","CLM_E_POA_IND_SW3","External Diagnosis Code 3 Present On Admission","The present on admission (POA) indicator code associated with the diagnosis E codes (principal and secondary).","eob.diagnosis[N].extension[N].valueCoding.code","eob.diagnosis[N].extension[N].url = 'https://bluebutton.cms.gov/resources/variables/clm_e_poa_ind_sw3'"
"ExplanationOfBenefit","Inpatient;","CLM_E_POA_IND_SW4","External Diagnosis Code 4 Present On Admission","The present on admission (POA) indicator code associated with the diagnosis E codes (principal and secondary).","eob.diagnosis[N].extension[N].valueCoding.code","eob.diagnosis[N].extension[N].url = 'https://bluebutton.cms.gov/resources/variables/clm_e_poa_ind_sw4'"
