,Field Name,Description,FHIR Resource,Coverage / Claim Type,fhirPath,example,notes,sourceView,sourceColumn,bfdDerived,sources,referenceTable,cclfMapping,ccwMapping,profiles
137,Medicare Beneficiary Identifier,"An identifier that uniquely identifies a beneficiary and replaces the Health Insurance Claim Number (HICN) on Medicare cards. The format of the Medicare Beneficiary Identifier (MBI) is 11-positions in length and contains the following values:  position 1 numeric values: 1 - 9  position 2 alphabetic values: A - Z (minus S, L, O, I, B, Z)  position 3 alphanumeric values: 0 - 9 and A - Z (minus S, L, O, I, B, Z)  position 4 numeric values: 0 - 9  position 5 alphabetic values: A - Z (minus S, L, O, I, B, Z)  position 6 alphanumeric values: 0 - 9 and a - z (minus S, L, O, I, B, Z)  position 7 numeric values: 0 - 9  position 8 alphabetic values: A - Z (minus S, L, O, I, B, Z)  position 9 alphabetic values: A - Z (minus S, L, O, I, B, Z)  position 10 numeric values: 0 - 9  position 11 numeric values: 0 - 9",Patient,,Patient.identifier.where(system='http://hl7.org/fhir/sid/us-mbi').value,AAA1AA0AA11,PRVS_NUM if an obsolete date is present. CRNT_NUM if no obsolete date.,V2_MDCR_BENE_HSTRY,BENE_MBI_ID,,,,"['CCLF1.BENE_MBI_ID', 'CCLF2.BENE_MBI_ID', 'CCLF3.BENE_MBI_ID', 'CCLF4.BENE_MBI_ID', 'CCLF5.BENE_MBI_ID', 'CCLF6.BENE_MBI_ID', 'CCLF7.BENE_MBI_ID', 'CCLF8.BENE_MBI_ID', 'CCLF9.CRNT_NUM', 'CCLF9.PRVS_NUM', 'CCLFA.BENE_MBI_ID', 'CCLFB.BENE_MBI_ID']",['MBI_NUM'],
138,MBI Effective Date,The effective date when an MBI is assigned to a beneficiary.,Patient,,Patient.identifier.where(system='http://hl7.org/fhir/sid/us-mbi').period.start,2017-05-11,"PRVS_ID_EFCTV_DT is accurate if there is also an obsolete date. Otherwise, it is the current MBI.",V2_MDCR_BENE_MBI_ID,BENE_MBI_EFCTV_DT,,,,['CCLF9.PRVS_ID_EFCTV_DT'],['EFCTV_BGN_DT'],
139,MBI Obsolete Date,The end date when an MBI period is closed due to being compromised or involved in a merge cross reference action. (replaced by a new MBI).,Patient,,Patient.identifier.where(system='http://hl7.org/fhir/sid/us-mbi').period.end,2017-07-01,,V2_MDCR_BENE_MBI_ID,BENE_MBI_OBSLT_DT,,,,['CCLF9.PRVS_ID_OBSLT_DT'],['EFCTV_END_DT'],
140,Matched Beneficiary FHIR ID,The FHIR ID of the beneficiary that was matched.,AuditEvent,,AuditEvent.entity.where(type.coding.code = 'Patient').what.reference.substring(8),,The SK of the beneficiary that was matched during the query process.,,,,,,,,
141,Purpose of Event,"The purpose of the audit event (e.g., PATRQT).",AuditEvent,,AuditEvent.purposeOfEvent.coding.where(system = 'http://terminology.hl7.org/CodeSystem/v3-ActReason').code,PATRQT,The purpose of the audit event.,,,,,,,,
142,Timestamp,The time the audit event occurred.,AuditEvent,,AuditEvent.recorded,2026-04-06T15:10:21.178850077Z,The exact date and time when the audit event was captured.,,,,,,,,
143,Client IP,The IP address of the client.,AuditEvent,,AuditEvent.agent.network.address,192.0.0.1,The IP address from which the client request originated.,,,,,,,,
144,Client Name,The name of the client application.,AuditEvent,,AuditEvent.agent.name,Alex's test app,The human-readable name of the client application.,,,,,,,,
145,Final Determination,The combination used to determine the unique match.,AuditEvent,,AuditEvent.entity.where(type.coding.code = 'Patient').detail,,The combination evaluated that returned a unique match. Includes version + algorithm number.,,,,,,,,
146,The claim unique ID is a unique ID for the claim within the source system.,An Integrated Data Repository (IDR) assigned surrogate key used to identify a claim.,ExplanationOfBenefit,"['Carrier', 'DME', 'HHA', 'Hospice', 'Inpatient', 'Outpatient', 'SNF']",ExplanationOfBenefit.identifier.where(type.coding.system = 'http://hl7.org/fhir/us/carin-bb/CodeSystem/C4BBIdentifierType' and type.coding.code = 'uc' ).value,NON-UNIQUE-ID-HERE,,V2_MDCR_CLM,CLM_UNIQ_ID,,"['FISS', 'MCS', 'NCH', 'VMS']",,"['CCLF1.CUR_CLM_UNIQ_ID', 'CCLF2.CUR_CLM_UNIQ_ID', 'CCLF3.CUR_CLM_UNIQ_ID', 'CCLF4.CUR_CLM_UNIQ_ID', 'CCLF5.CUR_CLM_UNIQ_ID', 'CCLF6.CUR_CLM_UNIQ_ID', 'CCLFA.CUR_CLM_UNIQ_ID', 'CCLFB.CUR_CLM_UNIQ_ID']",['CLM_ID'],"['Basis', 'Regular', 'CMS']"
147,Final Action Indicator,"A value indicating a final action claim. Valid values: Y = Final action claim, not voided. N = Not final action claim",ExplanationOfBenefit,"['Carrier', 'DME', 'HHA', 'Hospice', 'Inpatient', 'Outpatient', 'SNF']",ExplanationOfBenefit.meta.tag.where(system='https://bluebutton.cms.gov/fhir/CodeSystem/Final-Action').code,FinalAction,,V2_MDCR_CLM,CLM_FINL_ACTN_IND,,"['FISS', 'MCS', 'NCH', 'VMS']",https://bluebutton.cms.gov/fhir/CodeSystem/Final-Action,,,"['Basis', 'Regular', 'CMS']"
148,Claim Control Number,"An identifier assigned by the claim processor (i.e., Medicare Administrative Contractor, Part D plan, or Encounter Data Processing Contractor) to a claim.",ExplanationOfBenefit,"['Carrier', 'DME', 'HHA', 'Hospice', 'Inpatient', 'Outpatient', 'SNF']",ExplanationOfBenefit.identifier.where(system = 'https://bluebutton.cms.gov/identifiers/CLM-CNTL-NUM').value,DOOPITY-DOOP-DOOP,,V2_MDCR_CLM,CLM_CNTL_NUM,,"['FISS', 'MCS', 'NCH', 'VMS']",,"['CCLF1.CLM_CNTL_NUM', 'CCLF5.CLM_CNTL_NUM', 'CCLF6.CLM_CNTL_NUM']","['CARR_CLM_CNTL_NUM', 'FI_DOC_CLM_CNTL_NUM']","['Basis', 'Regular', 'CMS']"
149,CMS Patient Control Number,A number used to identify the patient account or encounter associated with a claim.,ExplanationOfBenefit,"['Carrier', 'DME', 'HHA', 'Hospice', 'Inpatient', 'Outpatient', 'SNF']",ExplanationOfBenefit.identifier.where(system = 'https://bluebutton.cms.gov/identifiers/CLM-PTNT-CNTL-NUM').value,,,V2_MDCR_CLM_DCMTN,CLM_PTNT_CNTL_NUM,,"['FISS', 'MCS', 'NCH', 'VMS']",,,,"['Basis', 'Regular', 'CMS']"
150,This field is the original identification value assigned.,A number identifying the original Claim Control Number (CCN) on an adjusted claim.,ExplanationOfBenefit,"['Carrier', 'DME', 'HHA', 'Hospice', 'Inpatient', 'Outpatient', 'SNF']",ExplanationOfBenefit.related.where(relationship.coding.system = 'http://terminology.hl7.org/CodeSystem/ex-relatedclaimrelationship').reference.where(system='https://bluebutton.cms.gov/identifiers/CLM-CNTL-NUM').value,,,V2_MDCR_CLM,CLM_ORIG_CNTL_NUM,,"['FISS', 'MCS', 'NCH', 'VMS']",,['CCLF1.CLM_ORG_CNTL_NUM'],,"['Basis', 'Regular', 'CMS']"
151,Claim Type Code,A code identifying the source and type of claim submitted through the Medicare or Medicaid program. For example: 60 = Medicare National Claims History (NCH) inpatient claim. 8900 = Medicaid fee for service dental. Reference table: CLM_TYPE_CD,ExplanationOfBenefit,"['Carrier', 'DME', 'HHA', 'Hospice', 'Inpatient', 'Outpatient', 'SNF']",ExplanationOfBenefit.type.coding.where(system = 'https://bluebutton.cms.gov/fhir/CodeSystem/CLM-TYPE-CD').code,72,,V2_MDCR_CLM,CLM_TYPE_CD,,"['FISS', 'MCS', 'NCH', 'VMS']",https://bluebutton.cms.gov/fhir/CodeSystem/CLM-TYPE-CD,"['CCLF1.CLM_TYPE_CD', 'CCLF2.CLM_TYPE_CD', 'CCLF3.CLM_TYPE_CD', 'CCLF4.CLM_TYPE_CD', 'CCLF5.CLM_TYPE_CD', 'CCLF6.CLM_TYPE_CD', 'CCLFA.CLM_TYPE_CD', 'CCLFB.CLM_TYPE_CD']",['NCH_CLM_TYPE_CD'],"['Basis', 'Regular', 'CMS']"
152,Claim Stream,This field can be used to determine which CMS claim stream the claim was processed under.,ExplanationOfBenefit,"['Carrier', 'DME', 'HHA', 'Hospice', 'Inpatient', 'Outpatient', 'SNF']",ExplanationOfBenefit.type.coding.where(system = 'https://bluebutton.cms.gov/fhir/CodeSystem/EOB-TYPE').code,CARRIER,,,,True,"['FISS', 'MCS', 'NCH', 'VMS']",,,,"['Basis', 'Regular', 'CMS']"
153,Beneficiary Source Key - On Claim,A unique number assigned by the Enrollment Data Base (EDB) to each EDB record to identify a beneficiary.,ExplanationOfBenefit,"['Carrier', 'DME', 'HHA', 'Hospice', 'Inpatient', 'Outpatient', 'SNF']",ExplanationOfBenefit.patient.reference.substring(8),12345,,V2_MDCR_CLM,BENE_SK,,"['FISS', 'MCS', 'NCH', 'VMS']",,,,"['Basis', 'Regular', 'CMS']"
154,Claim From Date,A date identifying the first day services are provided to a beneficiary.,ExplanationOfBenefit,"['Carrier', 'DME', 'HHA', 'Hospice', 'Inpatient', 'Outpatient', 'SNF']",ExplanationOfBenefit.billablePeriod.start,2025-01-03,,V2_MDCR_CLM,CLM_FROM_DT,,"['FISS', 'MCS', 'NCH', 'VMS']",,"['CCLF1.CLM_FROM_DT', 'CCLF2.CLM_FROM_DT', 'CCLF3.CLM_FROM_DT', 'CCLF4.CLM_FROM_DT', 'CCLF5.CLM_FROM_DT', 'CCLF6.CLM_FROM_DT']",['CLM_FROM_DT'],"['Basis', 'Regular', 'CMS']"
155,Claim Thru Date,"A date identifying the last day services are provided to a beneficiary. Note: For drug claims, this date is when the prescription was filled.",ExplanationOfBenefit,"['Carrier', 'DME', 'HHA', 'Hospice', 'Inpatient', 'Outpatient', 'SNF']",ExplanationOfBenefit.billablePeriod.end,2025-01-11,,V2_MDCR_CLM,CLM_THRU_DT,,"['FISS', 'MCS', 'NCH', 'VMS']",,"['CCLF1.CLM_THRU_DT', 'CCLF2.CLM_THRU_DT', 'CCLF3.CLM_THRU_DT', 'CCLF4.CLM_THRU_DT', 'CCLF5.CLM_THRU_DT', 'CCLF6.CLM_THRU_DT']",['CLM_THRU_DT'],"['Basis', 'Regular', 'CMS']"
156,Claim Effective Date,A date corresponding to the National Claim History (NCH) weekly processing date and used in final action processing to identify a version of a claim. It will always be a Friday date.,ExplanationOfBenefit,"['Carrier', 'DME', 'HHA', 'Hospice', 'Inpatient', 'Outpatient', 'SNF']",ExplanationOfBenefit.created,2025-01-18,,V2_MDCR_CLM,CLM_EFCTV_DT,,"['FISS', 'MCS', 'NCH', 'VMS']",,"['CCLF1.CLM_EFCTV_DT', 'CCLF5.CLM_EFCTV_DT', 'CCLF6.CLM_EFCTV_DT']",,"['Basis', 'Regular', 'CMS']"
157,Claim IDR Load Date,A date identifying when Part A and Part B data are loaded into the Integrated Data Repository (IDR).,ExplanationOfBenefit,"['Carrier', 'DME', 'HHA', 'Hospice', 'Inpatient', 'Outpatient', 'SNF']",ExplanationOfBenefit.supportingInfo.where(category.coding.where(system='https://bluebutton.cms.gov/fhir/CodeSystem/Supporting-Information').exists() and category.coding.where(code='CLM_IDR_LD_DT').exists()).timing,2025-01-18,,V2_MDCR_CLM,CLM_IDR_LD_DT,,"['FISS', 'MCS', 'NCH', 'VMS']",,"['CCLF1.CLM_IDR_LD_DT', 'CCLF5.CLM_IDR_LD_DT', 'CCLF6.CLM_IDR_LD_DT']",,['CMS']
158,Claim Source ID,A unique numeric value assigned by the Integrated Data Repository (IDR) used to identify the specific source of the data when a row is loaded into the IDR. Reference table: V2_MDCR_META_DCTNRY_SRC,ExplanationOfBenefit,"['Carrier', 'DME', 'HHA', 'Hospice', 'Inpatient', 'Outpatient', 'SNF']",ExplanationOfBenefit.meta.tag.where(system='https://bluebutton.cms.gov/fhir/CodeSystem/System-Type').value,,,V2_MDCR_CLM,CLM_SRC_ID,,"['FISS', 'MCS', 'NCH', 'VMS']",https://bluebutton.cms.gov/fhir/CodeSystem/System-Type,,,"['Basis', 'Regular', 'CMS']"
159,Source ID,Identifies the source system of the ExplanationOfBenefit data.,ExplanationOfBenefit,"['Carrier', 'DME', 'HHA', 'Hospice', 'Inpatient', 'Outpatient', 'SNF']",ExplanationOfBenefit.meta.source,NCH,,V2_MDCR_CLM,META_SRC_SK,,"['FISS', 'MCS', 'NCH', 'VMS']",,,,"['Basis', 'Regular', 'CMS']"
160,Provider billing NPI number,"A number identifying the National Provider Identifier (NPI) of the billing provider associated with the claim, as sourced from the National Plan and Provider Enumeration System (NPPES). Note: This column is populated if the billing provider NPI on the claim, as provided by the source system, can be found in the Integrated Deposit Repository (IDR) provider data as sourced from NPPES.",ExplanationOfBenefit,"['Carrier', 'DME', 'HHA', 'Hospice', 'Inpatient', 'Outpatient', 'SNF']",ExplanationOfBenefit.contained.where(id = %root.provider.reference.substring(1)).identifier.where(system='http://hl7.org/fhir/sid/us-npi').value,1942945159,"CLM_BLG_PRVDR_NPI_NUM is in CCLF, but not always present. PRVDR_BLG_PRVDR_NPI_NUM is always present on institutional claims.",V2_MDCR_CLM,PRVDR_BLG_PRVDR_NPI_NUM,,"['FISS', 'MCS', 'NCH', 'VMS']",,"['CCLF1.FAC_PRVDR_NPI_NUM', 'CCLF1.CLM_BLG_PRVDR_NPI_NUM', 'CCLF6.CLM_BLG_PRVDR_NPI_NUM', 'CCLF6.PAYTO_PRVDR_NPI_NUM']","['ORG_NPI_NUM', 'PRVDR_NPI', 'CARR_CLM_BLG_NPI_NUM']","['Basis', 'Regular', 'CMS']"
161,Billing Provider Zip Code,"A five-digit ZIP code defined by the United States Postal Service (USPS) that identifies a destination post office or delivery area associated with a beneficiary, provider, or claim address. Reference table: GEO_ZIP5_CD",ExplanationOfBenefit,"['HHA', 'Hospice', 'Inpatient', 'Outpatient', 'SNF']",ExplanationOfBenefit.contained.where(id = %root.provider.reference.substring(1)).address.postalCode,77550,,V2_MDCR_CLM,CLM_BLG_PRVDR_ZIP5_CD,,"['FISS', 'MCS', 'NCH', 'VMS']",,,['PRVDR_ZIP'],"['Basis', 'Regular', 'CMS']"
162,Provider Tax Number,Provider Tax Number,ExplanationOfBenefit,"['DME', 'Inpatient', 'Outpatient', 'SNF']",ExplanationOfBenefit.contained.where(id = %root.provider.reference.substring(1)).identifier.where(system = 'urn:oid:2.16.840.1.113883.4.4').value,,,V2_MDCR_CLM,CLM_BLG_PRVDR_TAX_NUM,,"['FISS', 'MCS', 'NCH', 'VMS']",,,,"['Basis', 'Regular', 'CMS']"
163,Claim Query Code,"Indication of the type of claim record being processed with respect to payment (debit/credit indicator - original, full, replacement; interim/final indicator). [HRMZ] Code indicating the type of claim record being processed with respect to payment (debit/credit indicator; interim/final indicator). [NCH]",ExplanationOfBenefit,"['Carrier', 'DME', 'HHA', 'Hospice', 'Inpatient', 'Outpatient', 'SNF']",ExplanationOfBenefit.supportingInfo.where(category.coding.where(system='https://bluebutton.cms.gov/fhir/CodeSystem/Supporting-Information').exists() and category.coding.where(code='CLM_QUERY_CD').exists()).code.coding.code,3,,V2_MDCR_CLM,CLM_QUERY_CD,,"['FISS', 'NCH']",https://bluebutton.cms.gov/fhir/CodeSystem/CLM-QUERY-CD,['CCLF1.CLM_QUERY_CD'],"['CARR_CLM_ENTRY_CD', 'CLAIM_QUERY_CODE']","['CMS', 'Basis', 'Regular']"
164,Noncovered Charge Amount,An amount identifying the portion of a charge not covered by Medicare.,ExplanationOfBenefit,"['Inpatient', 'SNF']",ExplanationOfBenefit.total.where(category.coding.where(system='http://hl7.org/fhir/us/carin-bb/CodeSystem/C4BBAdjudication' and code='noncovered').exists() and category.coding.where(system='https://bluebutton.cms.gov/fhir/CodeSystem/Adjudication' and code='CLM_NCVRD_CHRG_AMT').exists()).amount.value,11.5,,V2_MDCR_CLM,CLM_NCVRD_CHRG_AMT,,"['FISS', 'NCH']",,['CCLFA.CLM_NCVRD_CHRG_AMT'],['NCH_IP_NCVRD_CHRG_AMT'],"['Regular', 'CMS']"
165,Inpatient/Outpatient Total Deduction Amount,An amount identifying the portion applied toward the deductible a beneficiary is responsible for.,ExplanationOfBenefit,"['Carrier', 'DME', 'Inpatient', 'Outpatient', 'SNF']",ExplanationOfBenefit.total.where(category.coding.where(system='http://terminology.hl7.org/CodeSystem/adjudication' and code='deductible').exists() and category.coding.where(system='https://bluebutton.cms.gov/fhir/CodeSystem/Adjudication' and code='CLM_MDCR_DDCTBL_AMT').exists()).amount.value,17.85,,V2_MDCR_CLM,CLM_MDCR_DDCTBL_AMT,,"['FISS', 'MCS', 'NCH', 'VMS']",,"['CCLFA.CLM_MDCR_DDCTBL_AMT', 'CCLFB.CLM_MDCR_DDCTBL_AMT']","['NCH_BENE_PTB_DDCTBL_AMT', 'NCH_IP_TOT_DDCTN_AMT', 'CARR_CLM_CASH_DDCTBL_APLD_AMT']","['Regular', 'CMS']"
166,Near Line Record Identification Code,A code defining the type of claim record being processed. [NCH],ExplanationOfBenefit,"['Carrier', 'DME', 'HHA', 'Hospice', 'Inpatient', 'Outpatient', 'SNF']",ExplanationOfBenefit.supportingInfo.where(code.coding.system='https://bluebutton.cms.gov/fhir/CodeSystem/CLM-NRLN-RIC-CD').code.coding.code,O,,V2_MDCR_CLM_DCMTN,CLM_NRLN_RIC_CD,,['NCH'],https://bluebutton.cms.gov/fhir/CodeSystem/CLM-NRLN-RIC-CD,,['NCH_NEAR_LINE_REC_IDENT_CD'],"['Basis', 'Regular', 'CMS']"
167,Claim Outpatient Service Type Code,Code indicating type and priority of outpatient service. [NCH],ExplanationOfBenefit,['Outpatient'],ExplanationOfBenefit.supportingInfo.where(code.coding.system='https://bluebutton.cms.gov/fhir/CodeSystem/CLM-OP-SRVC-TYPE-CD').code.coding.code,3,,V2_MDCR_CLM_INSTNL,CLM_OP_SRVC_TYPE_CD,,['NCH'],https://bluebutton.cms.gov/fhir/CodeSystem/CLM-OP-SRVC-TYPE-CD,['CCLF1.CLM_OP_SRVC_TYPE_CD'],,['CMS']
168,Operating Disproportionate Share Amount,This is one component of the total amount that is payable on prospective payment system (PPS) claims and reflects the DSH (disproportionate share hospital) payments for operating expenses (such as labor) for the claim. Note: This field is a sum of the CLM_VAL.CLM_VAL_AMT amounts where CLM_VAL_CD is the disproportionate share code.,ExplanationOfBenefit,['Inpatient'],ExplanationOfBenefit.adjudication.where(category.coding.where(system='https://bluebutton.cms.gov/fhir/CodeSystem/Adjudication' and code='CLM_OPRTNL_DSPRTNT_AMT').exists()).amount.value,14.14,,,,True,"['FISS', 'NCH']",,['CCLF1.CLM_OPRTNL_DSPRPRTNT_AMT'],['DSH_OP_CLM_VAL_AMT'],['CMS']
169,Operating Indirect Medical Education Amount,"This is one component of the total amount that is payable on PPS claims, and reflects the IME (indirect medical education) payments for operating expenses (such as labor) for the claim. Note: This field is a sum of the CLM_VAL.CLM_VAL_AMT amounts where CLM_VAL_CD is the IME share code.",ExplanationOfBenefit,['Inpatient'],ExplanationOfBenefit.adjudication.where(category.coding.where(system='https://bluebutton.cms.gov/fhir/CodeSystem/Adjudication' and code='CLM_OPRTNL_IME_AMT').exists()).amount.value,12342.14,,,,True,"['FISS', 'NCH']",,['CCLF1.CLM_OPRTNL_IME_AMT'],['IME_OP_CLM_VAL_AMT'],['CMS']
170,Claim Process Date,"Date a claim or prescription drug event was processed by a CMS front end system, such as the DDPS operational data store.",ExplanationOfBenefit,"['HHA', 'Hospice', 'Inpatient', 'Outpatient', 'SNF']",ExplanationOfBenefit.supportingInfo.where(category.coding.where(system='https://bluebutton.cms.gov/fhir/CodeSystem/Supporting-Information').exists() and category.coding.where(code='CLM_CMS_PROC_DT').exists()).timing,2025-01-01,,V2_MDCR_CLM_DT_SGNTR,CLM_CMS_PROC_DT,,"['FISS', 'NCH']",,,['FI_CLM_PROC_DT'],['CMS']
171,Payment Amount,An amount identifying how much was paid on an adjudicated claim.,ExplanationOfBenefit,"['Carrier', 'DME', 'HHA', 'Hospice', 'Inpatient', 'Outpatient', 'SNF']",ExplanationOfBenefit.payment.amount.value,3.5,,V2_MDCR_CLM,CLM_PMT_AMT,,"['FISS', 'MCS', 'NCH']",,['CCLF1.CLM_PMT_AMT'],['CLM_PMT_AMT'],"['Regular', 'CMS']"
172,Attending Physician NPI,A number identifying the National Provider Identifier (NPI) of an attending provider as sourced from the NPI crosswalk reference information provided by the National Plan and Provider Enumeration System (NPPES).,ExplanationOfBenefit,"['HHA', 'Hospice', 'Inpatient', 'Outpatient', 'SNF']",ExplanationOfBenefit.careTeam.where(role.coding.where(code = 'attending').exists()).provider.identifier.value,1942945159,,V2_MDCR_CLM,PRVDR_ATNDG_PRVDR_NPI_NUM,,"['FISS', 'NCH']",,"['CCLF1.ATNDG_PRVDR_NPI_NUM', 'CCLF1.CLM_ATNDG_PRVDR_NPI_NUM']",['AT_PHYSN_NPI'],"['Basis', 'Regular', 'CMS']"
173,Operating Physician NPI,A number identifying the National Provider Identifier (NPI) of an operating provider as sourced from the NPI crosswalk reference information provided by the National Plan and Provider Enumeration System (NPPES).,ExplanationOfBenefit,"['HHA', 'Hospice', 'Inpatient', 'Outpatient', 'SNF']",ExplanationOfBenefit.careTeam.where(role.coding.where(code = 'otheroperating').exists()).provider.identifier.value,1942945159,,V2_MDCR_CLM,PRVDR_OPRTG_PRVDR_NPI_NUM,,"['FISS', 'NCH']",,"['CCLF1.OPRTG_PRVDR_NPI_NUM', 'CCLF1.CLM_OPRTG_PRVDR_NPI_NUM']",['OP_PHYSN_NPI'],"['Basis', 'Regular', 'CMS']"
174,Claim Diagnosis Code,"A CODE IDENTIFYING AN INTERNATIONAL CLASSIFICATION OF DISEASES, CLINICAL MODIFICATION (ICD_CM) DIAGNOSIS RELEVANT TO THE SERVICE BEING PROVIDED OR THE REASON FOR THE SERVICE.",ExplanationOfBenefit,"['Carrier', 'DME', 'HHA', 'Hospice', 'Inpatient', 'Outpatient', 'SNF']",ExplanationOfBenefit.diagnosis.diagnosis.coding.code,M48.062,"There are rare, rare, instances where these will be ICD-9 codes.",V2_MDCR_CLM_PROD,CLM_DGNS_CD,,"['FISS', 'MCS', 'NCH', 'VMS']",,"['CCLF1.PRNCPL_DGNS_CD', 'CCLF1.ADMTG_DGNS_CD', 'CCLF4.CLM_DGNS_CD', 'CCLF5.CLM_DGNS_1_CD', 'CCLF5.CLM_DGNS_2_CD', 'CCLF5.CLM_DGNS_3_CD', 'CCLF5.CLM_DGNS_4_CD', 'CCLF5.CLM_DGNS_5_CD', 'CCLF5.CLM_DGNS_6_CD', 'CCLF5.CLM_DGNS_7_CD', 'CCLF5.CLM_DGNS_8_CD', 'CCLF5.CLM_DGNS_9_CD', 'CCLF5.CLM_DGNS_10_CD', 'CCLF5.CLM_DGNS_11_CD', 'CCLF5.CLM_DGNS_12_CD']","['FST_DGNS_E_CD', 'RSN_VISIT_CD1', 'RSN_VISIT_CD2', 'RSN_VISIT_CD3', 'ICD_DGNS_CD1', 'ICD_DGNS_CD2', 'ICD_DGNS_CD3', 'ICD_DGNS_CD4', 'ICD_DGNS_CD5', 'ICD_DGNS_CD6', 'ICD_DGNS_CD7', 'ICD_DGNS_CD8', 'ICD_DGNS_CD9', 'ICD_DGNS_CD10', 'ICD_DGNS_CD11', 'ICD_DGNS_CD12', 'ICD_DGNS_CD13', 'ICD_DGNS_CD14', 'ICD_DGNS_CD15', 'ICD_DGNS_CD16', 'ICD_DGNS_CD17', 'ICD_DGNS_CD18', 'ICD_DGNS_CD19', 'ICD_DGNS_CD20', 'ICD_DGNS_CD21', 'ICD_DGNS_CD22', 'ICD_DGNS_CD23', 'ICD_DGNS_CD24', 'ICD_DGNS_CD25', 'ICD_DGNS_E_CD1', 'ICD_DGNS_E_CD2', 'ICD_DGNS_E_CD3', 'ICD_DGNS_E_CD4', 'ICD_DGNS_E_CD5', 'ICD_DGNS_E_CD6', 'ICD_DGNS_E_CD7', 'ICD_DGNS_E_CD8', 'ICD_DGNS_E_CD9', 'ICD_DGNS_E_CD10', 'ICD_DGNS_E_CD11', 'ICD_DGNS_E_CD12', 'PRNCPAL_DGNS_CD']","['Basis', 'Regular', 'CMS']"
175,Diagnosis Procedure ICD indicator,THIS IS THE CLAIM PROD VERSION CODE WHICH IS SPACES OR 9 FOR ICD 9 AND 0 FOR ICD 10.,ExplanationOfBenefit,"['Carrier', 'DME', 'HHA', 'Hospice', 'Inpatient', 'Outpatient', 'SNF']",ExplanationOfBenefit.diagnosis.diagnosis.coding.system,http://hl7.org/fhir/sid/icd-10-cm,,V2_MDCR_CLM_PROD,CLM_DGNS_PRCDR_ICD_IND,,"['FISS', 'MCS', 'NCH', 'VMS']",,"['CCLF1.DGNS_PRCDR_ICD_IND', 'CCLF2.DGNS_PRCDR_ICD_IND', 'CCLF4.DGNS_PRCDR_ICD_IND', 'CCLF5.DGNS_PRCDR_ICD_IND']","['FST_DGNS_E_VRSN_CD', 'RSN_VISIT_VRSN_CD1', 'RSN_VISIT_VRSN_CD2', 'RSN_VISIT_VRSN_CD3', 'ADMTG_DGNS_VRSN_CD', 'ICD_DGNS_E_VRSN_CD1', 'ICD_DGNS_E_VRSN_CD2', 'ICD_DGNS_E_VRSN_CD3', 'ICD_DGNS_E_VRSN_CD4', 'ICD_DGNS_E_VRSN_CD5', 'ICD_DGNS_E_VRSN_CD6', 'ICD_DGNS_E_VRSN_CD7', 'ICD_DGNS_E_VRSN_CD8', 'ICD_DGNS_E_VRSN_CD9', 'ICD_DGNS_E_VRSN_CD10', 'ICD_DGNS_E_VRSN_CD11', 'ICD_DGNS_E_VRSN_CD12', 'ICD_DGNS_VRSN_CD1', 'ICD_DGNS_VRSN_CD2', 'ICD_DGNS_VRSN_CD3', 'ICD_DGNS_VRSN_CD4', 'ICD_DGNS_VRSN_CD5', 'ICD_DGNS_VRSN_CD6', 'ICD_DGNS_VRSN_CD7', 'ICD_DGNS_VRSN_CD8', 'ICD_DGNS_VRSN_CD9', 'ICD_DGNS_VRSN_CD10', 'ICD_DGNS_VRSN_CD11', 'ICD_DGNS_VRSN_CD12', 'ICD_DGNS_VRSN_CD13', 'ICD_DGNS_VRSN_CD14', 'ICD_DGNS_VRSN_CD15', 'ICD_DGNS_VRSN_CD16', 'ICD_DGNS_VRSN_CD17', 'ICD_DGNS_VRSN_CD18', 'ICD_DGNS_VRSN_CD19', 'ICD_DGNS_VRSN_CD20', 'ICD_DGNS_VRSN_CD21', 'ICD_DGNS_VRSN_CD22', 'ICD_DGNS_VRSN_CD23', 'ICD_DGNS_VRSN_CD24', 'ICD_DGNS_VRSN_CD25', 'PRNCPAL_DGNS_VRSN_CD', 'LINE_ICD_DGNS_VRSN_CD']","['Basis', 'Regular', 'CMS']"
176,Diagnosis Prod Type Code,UNIQUELY IDENTIFIES A TYPE OF PROCEDURE OR A DIAGNOSIS CATEGORY.,ExplanationOfBenefit,"['HHA', 'Hospice', 'Inpatient', 'Outpatient', 'SNF']",ExplanationOfBenefit.diagnosis.type.coding,"{'system': 'http://terminology.hl7.org/CodeSystem/ex-diagnosistype', 'code': 'principal'}",,V2_MDCR_CLM_PROD,CLM_PROD_TYPE_CD,,"['FISS', 'NCH']",,['CCLF4.CLM_PROD_TYPE_CD'],,"['Basis', 'Regular', 'CMS']"
