,Field Name,Description,FHIR Resource,Coverage / Claim Type,fhirPath,example,notes,sourceView,sourceColumn,bfdDerived,sources,referenceTable,cclfMapping,ccwMapping,profiles
259,Add On Payment Amount,THE NEW PATIENT OR INITIAL MEDICARE VISIT ADD-ON PAYMENT AMOUNT OF THE FEDERALLY QUALIFIED HEALTH CENTER (FQHC) CLAIM.,ExplanationOfBenefit,"['HHA', 'Hospice', 'Inpatient', 'Outpatient', 'SNF']",ExplanationOfBenefit.item.adjudication.where(category.coding.where(system='https://bluebutton.cms.gov/fhir/CodeSystem/Adjudication') and category.coding.where(code='CLM_LINE_ADD_ON_PYMT_AMT')).amount.value,,,V2_MDCR_CLM_LINE_INSTNL,CLM_LINE_ADD_ON_PYMT_AMT,,"['FISS', 'NCH']",,,,['CMS']
260,Non-EHR Reduction Amount,THIS FIELD IDENTIFIES THE PAYMENT REDUCTION AMOUNT FOR HOSPITALS THAT ARE NOT MEANINGFUL USERS OF CERTIFIED ELECTRONIC HEALTH RECORD (EHR) TECHNOLOGY.,ExplanationOfBenefit,['Inpatient'],ExplanationOfBenefit.item.adjudication.where(category.coding.where(system='https://bluebutton.cms.gov/fhir/CodeSystem/Adjudication') and category.coding.where(code='CLM_LINE_NON_EHR_RDCTN_AMT')).amount.value,11.12,,V2_MDCR_CLM_LINE_INSTNL,CLM_LINE_NON_EHR_RDCTN_AMT,,['FISS'],,,,['CMS']
261,Transitional Drug Add-On Payment Adjustment,"A MONETARY AMOUNT SIGNIFYING THE TRANSITIONAL DRUG ADD-ON PAYMENT ADJUSTMENT (TDAPA) FOR END STAGE RENAL DISEASE (ESRD) CLAIMS FOR INJECTABLE, INTRAVENOUS, AND ORAL CALCIMIMETICS WHEN REPORTED WITH AN AX MODIFIER.",ExplanationOfBenefit,"['HHA', 'Hospice', 'Inpatient', 'Outpatient', 'SNF']",ExplanationOfBenefit.item.adjudication.where(category.coding.where(system='https://bluebutton.cms.gov/fhir/CodeSystem/Adjudication') and category.coding.where(code='CLM_REV_CNTR_TDAPA_AMT')).amount.value,,,V2_MDCR_CLM_LINE_INSTNL,CLM_REV_CNTR_TDAPA_AMT,,"['FISS', 'NCH']",,,,['CMS']
262,Carrier Clinical Charge Amount,FEE SCHEDULE CHARGE AMOUNT APPLIED FOR THE LINE ITEM CLINICAL LABORATORY SERVICE ON THE CARRIER CLAIM (NON-DMERC).,ExplanationOfBenefit,['Carrier'],ExplanationOfBenefit.item.adjudication.where(category.coding.where(system='https://bluebutton.cms.gov/fhir/CodeSystem/Adjudication') and category.coding.where(code='CLM_LINE_CARR_CLNCL_CHRG_AMT')).amount.value,11.11,,V2_MDCR_CLM_LINE_PRFNL,CLM_LINE_CARR_CLNCL_CHRG_AMT,,"['MCS', 'NCH']",,,,['CMS']
263,Therapy Amount Applied to Limit,"FOR TYPE OF SERVICE PSYCHIATRIC, OCCUPATIONAL THERAPY OR PHYSICAL THERAPY, THE AMOUNT OF ALLOWED CHARGES APPLIED TOWARD THE LIMIT CAP FOR THIS LINE ITEM SERVICE ON THE NONINSTITUTIONAL CLAIM. [NCH]",ExplanationOfBenefit,['Carrier'],ExplanationOfBenefit.item.adjudication.where(category.coding.where(system='https://bluebutton.cms.gov/fhir/CodeSystem/Adjudication') and category.coding.where(code='CLM_LINE_CARR_PSYCH_OT_LMT_AMT')).amount.value,11.12,,V2_MDCR_CLM_LINE_PRFNL,CLM_LINE_CARR_PSYCH_OT_LMT_AMT,,"['MCS', 'NCH']",,,,['CMS']
264,Professional Interest Amount,AMOUNT OF INTEREST TO BE PAID FOR THIS LINE ITEM SERVICE ON THE NON-INSTITUTIONAL CLAIM.  **NOTE: THIS IS NOT INCLUDED IN THE LINE ITEM NCH PAYMENT (REIMBURSEMENT) AMOUNT.,ExplanationOfBenefit,"['Carrier', 'DME']",ExplanationOfBenefit.item.adjudication.where(category.coding.where(system='https://bluebutton.cms.gov/fhir/CodeSystem/Adjudication') and category.coding.where(code='CLM_LINE_PRFNL_INTRST_AMT')).amount.value,11.13,,V2_MDCR_CLM_LINE_PRFNL,CLM_LINE_PRFNL_INTRST_AMT,,"['MCS', 'NCH', 'VMS']",,,,['CMS']
265,Line Primary Payer Allowed Amount,LINE PRIMARY PAYER ALLOWED CHARGE AMOUNT,ExplanationOfBenefit,"['Carrier', 'DME']",ExplanationOfBenefit.item.adjudication.where(category.coding.where(system='https://bluebutton.cms.gov/fhir/CodeSystem/Adjudication') and category.coding.where(code='CLM_MDCR_PRMRY_PYR_ALOWD_AMT')).amount.value,11.14,,V2_MDCR_CLM_LINE_PRFNL,CLM_MDCR_PRMRY_PYR_ALOWD_AMT,,"['MCS', 'NCH', 'VMS']",,,,['CMS']
266,Patient Status Code,"EFFECTIVE WITH NCH VERSION H, THE CODE ON AN INPATIENT/SNF AND HOSPICE CLAIM, INDICATING WHETHER THE BENEFICIARY WAS DISCHARGED, DIED OR STILL A PATIENT (USED FOR INTERNAL CWFMQA EDITING PURPOSES.)  NOTE:  DURING THE NCH VERSION H CONVERSION THIS FIELD WAS POPULATED THROUGHOUT HISTORY (BACK TO SERVICE YEAR 1991). [NCH]",ExplanationOfBenefit,"['Hospice', 'Inpatient']",ExplanationOfBenefit.supportingInfo.where(code.coding.system='https://bluebutton.cms.gov/fhir/CodeSystem/CLM-MDCR-NCH-PTNT-STUS-IND-CD').code.coding.code,,,V2_MDCR_CLM_INSTNL,CLM_MDCR_NCH_PTNT_STUS_IND_CD,,"['FISS', 'NCH']",https://bluebutton.cms.gov/fhir/CodeSystem/CLM-MDCR-NCH-PTNT-STUS-IND-CD,,,['CMS']
267,Claim Line Prior Authorization Unique Tracking Number (Adjudicated),The unique tracking number for the prior authorization associated with this claim line from claims.,ExplanationOfBenefit,"['Carrier', 'DME', 'HHA', 'Inpatient', 'Inpatient', 'Outpatient']",ExplanationOfBenefit.supportingInfo.where(category.coding.where(system='https://bluebutton.cms.gov/fhir/CodeSystem/Supporting-Information').exists() and category.coding.where(code='CLM_LINE_PMD_UNIQ_TRKNG_NUM').exists()).value,ALA00000047747,,V2_MDCR_CLM_LINE,CLM_LINE_PMD_UNIQ_TRKNG_NUM,,['NCH'],,,,['CMS']
268,Claim Line Prior Authorization Unique Tracking Number (Partially Adjudicated),A NUMBER IDENTIFYING A UNIQUE TRACKING NUMBER (UTN) FOR A PRIOR AUTHORIZATION (PA).,ExplanationOfBenefit,"['Carrier', 'DME', 'Hospice', 'Inpatient', 'Inpatient', 'Outpatient', 'SNF']",ExplanationOfBenefit.supportingInfo.where(category.coding.where(system='https://bluebutton.cms.gov/fhir/CodeSystem/Supporting-Information').exists() and category.coding.where(code='CLM_LINE_PMD_UNIQ_TRKNG_NUM').exists()).value,ALA00000047747,,V2_MDCR_CLM_LINE_DCMTN,CLM_LINE_PA_UNIQ_TRKNG_NUM,,"['FISS', 'MCS']",,,,['CMS']
269,Claim Benefit Enhancement Code 1,A CODE IDENTIFYING THE FIRST APPLICABLE ACCOUNTABLE CARE ORGANIZATION (ACO) BENEFIT ENHANCEMENT INDICATOR (BEI) THAT APPLIED TO THE CLAIM.,ExplanationOfBenefit,"['HHA', 'Hospice', 'Inpatient', 'Outpatient', 'SNF']",ExplanationOfBenefit.supportingInfo.where(category.coding.where(system='https://bluebutton.cms.gov/fhir/CodeSystem/Supporting-Information').exists() and category.coding.where(code='CLM_BNFT_ENHNCMT_CD').exists()).value,,"There may be multiple. These are unordered, but there are a maximum of 5 per institutional claim header, and 5 per professional claim line.",V2_MDCR_CLM_DCMTN,CLM_BNFT_ENHNCMT_1_CD,,"['FISS', 'NCH']",,['CCLFA.CLM_DEMO_1ST_NUM'],,['CMS']
270,Claim Benefit Enhancement Code 2,A CODE IDENTIFYING THE SECOND APPLICABLE ACCOUNTABLE CARE ORGANIZATION (ACO) BENEFIT ENHANCEMENT INDICATOR (BEI) THAT APPLIED TO THE CLAIM.,ExplanationOfBenefit,"['HHA', 'Hospice', 'Inpatient', 'Outpatient', 'SNF']",ExplanationOfBenefit.supportingInfo.where(category.coding.where(system='https://bluebutton.cms.gov/fhir/CodeSystem/Supporting-Information').exists() and category.coding.where(code='CLM_BNFT_ENHNCMT_CD').exists()).value,,"There may be multiple. These are unordered, but there are a maximum of 5 per institutional claim header, and 5 per professional claim line.",V2_MDCR_CLM_DCMTN,CLM_BNFT_ENHNCMT_2_CD,,"['FISS', 'NCH']",,['CCLFA.CLM_DEMO_2ND_NUM'],,['CMS']
271,Claim Benefit Enhancement Code 3,A CODE IDENTIFYING THE THIRD APPLICABLE ACCOUNTABLE CARE ORGANIZATION (ACO) BENEFIT ENHANCEMENT INDICATOR (BEI) THAT APPLIED TO THE CLAIM.,ExplanationOfBenefit,"['HHA', 'Hospice', 'Inpatient', 'Outpatient', 'SNF']",ExplanationOfBenefit.supportingInfo.where(category.coding.where(system='https://bluebutton.cms.gov/fhir/CodeSystem/Supporting-Information').exists() and category.coding.where(code='CLM_BNFT_ENHNCMT_CD').exists()).value,,"There may be multiple. These are unordered, but there are a maximum of 5 per institutional claim header, and 5 per professional claim line.",V2_MDCR_CLM_DCMTN,CLM_BNFT_ENHNCMT_3_CD,,"['FISS', 'NCH']",,['CCLFA.CLM_DEMO_3RD_NUM'],,['CMS']
272,Claim Benefit Enhancement Code 4,A CODE IDENTIFYING THE FOURTH APPLICABLE ACCOUNTABLE CARE ORGANIZATION (ACO) BENEFIT ENHANCEMENT INDICATOR (BEI) THAT APPLIED TO THE CLAIM.,ExplanationOfBenefit,"['HHA', 'Hospice', 'Inpatient', 'Outpatient', 'SNF']",ExplanationOfBenefit.supportingInfo.where(category.coding.where(system='https://bluebutton.cms.gov/fhir/CodeSystem/Supporting-Information').exists() and category.coding.where(code='CLM_BNFT_ENHNCMT_CD').exists()).value,,"There may be multiple. These are unordered, but there are a maximum of 5 per institutional claim header, and 5 per professional claim line.",V2_MDCR_CLM_DCMTN,CLM_BNFT_ENHNCMT_4_CD,,"['FISS', 'NCH']",,['CCLFA.CLM_DEMO_4TH_NUM'],,['CMS']
273,Claim Benefit Enhancement Code 5,A CODE IDENTIFYING THE FIFTH APPLICABLE ACCOUNTABLE CARE ORGANIZATION (ACO) BENEFIT ENHANCEMENT INDICATOR (BEI) THAT APPLIED TO THE CLAIM.,ExplanationOfBenefit,"['HHA', 'Hospice', 'Inpatient', 'Outpatient', 'SNF']",ExplanationOfBenefit.supportingInfo.where(category.coding.where(system='https://bluebutton.cms.gov/fhir/CodeSystem/Supporting-Information').exists() and category.coding.where(code='CLM_BNFT_ENHNCMT_CD').exists()).value,,"There may be multiple. These are unordered, but there are a maximum of 5 per institutional claim header, and 5 per professional claim line.",V2_MDCR_CLM_DCMTN,CLM_BNFT_ENHNCMT_5_CD,,"['FISS', 'NCH']",,['CCLFA.CLM_DEMO_5TH_NUM'],,['CMS']
274,Claim NGACO PBPMT Switch,"AN INTEGRATED DATA REPOSITORY (IDR) DERIVED INDICATOR BASED ON THE CLAIM NEXT GENERATION (NG) ACCOUNTABLE CARE ORGANIZATION (ACO) INDICATOR CODE FROM CWF (COMMON WORKING FILE), WHICH IDENTIFIES THE BENEFIT ENHANCEMENT INDICATOR THAT IDENTIFIES CLAIMS THAT QUALIFY FOR SPECIFIC CLAIM PROCESSING EDITS.  VALID VALUES:  Y = IF ANY OF THE FIVE CLAIM NG ACO INDICATOR CODES CONTAINS Ñ°Ò (POPULATION BASED PAYMENTS (PBP)).  N = IF Ñ¶4Ò OR Ñ¸9Ò IS FOUND IN ANY OF THE CLM_DCMTN.CLM_DEMO_1ST_NUM THROUGH CLM_DCMTN.CLM_DEMO_5TH_NUM COLUMNS AND NONE OF THE FIVE NG ACO INDICATOR CODES CONTAINS Ñ°Ò®  NULL = DEFAULT",ExplanationOfBenefit,"['HHA', 'Hospice', 'Inpatient', 'Outpatient', 'SNF']",ExplanationOfBenefit.supportingInfo.where(category.coding.where(system='https://bluebutton.cms.gov/fhir/CodeSystem/Supporting-Information').exists() and category.coding.where(code='CLM_NGACO_PBPMT_SW').exists()).value,,"This field is deprecated in shared systems data. Its value can be derived as Y if any CLM_BNFT_ENHNCMT_X_CD  = 1, else N.",V2_MDCR_CLM_DCMTN,CLM_NGACO_PBPMT_SW,,['NCH'],,['CCLFA.CLM_NGACO_PBPMT_SW'],,['CMS']
275,Claim NGACO Post Discharge HCBS Switch,"AN INTEGRATED DATA REPOSITORY (IDR) DERIVED INDICATOR BASED ON THE CLAIM NEXT GENERATION (NG) ACCOUNTABLE CARE ORGANIZATION (ACO) INDICATOR CODE FROM CWF (COMMON WORKING FILE), WHICH IDENTIFIES THE BENEFIT ENHANCEMENT INDICATOR THAT IDENTIFIES CLAIMS THAT QUALIFY FOR SPECIFIC CLAIM PROCESSING EDITS.  VALID VALUES:  Y = IF ANY OF THE FIVE CLAIM NG ACO INDICATOR CODES CONTAINS Ñ²Ò (POST DISCHARGE HOME VISITS).  N = IF Ñ¶4Ò OR Ñ¸9Ò IS FOUND IN ANY OF THE CLM_DCMTN.CLM_DEMO_1ST_NUM THROUGH CLM_DCMTN.CLM_DEMO_5TH_NUM COLUMNS AND NONE OF THE FIVE NG ACO INDICATOR CODES CONTAINS Ñ²Ò®  NULL = DEFAULT",ExplanationOfBenefit,"['HHA', 'Hospice', 'Inpatient', 'Outpatient', 'SNF']",ExplanationOfBenefit.supportingInfo.where(category.coding.where(system='https://bluebutton.cms.gov/fhir/CodeSystem/Supporting-Information').exists() and category.coding.where(code='CLM_NGACO_PDSCHRG_HCBS_SW').exists()).value,,"This field is deprecated in shared systems data. Its value can be derived as Y if any CLM_BNFT_ENHNCMT_X_CD  = 3, else N.",V2_MDCR_CLM_DCMTN,CLM_NGACO_PDSCHRG_HCBS_SW,,['NCH'],,['CCLFA.CLM_NGACO_PDSCHRG_HCBS_SW'],,['CMS']
276,Claim NGACO SNF Waiver Switch,"AN INTEGRATED DATA REPOSITORY (IDR) DERIVED INDICATOR BASED ON THE CLAIM NEXT GENERATION (NG) ACCOUNTABLE CARE ORGANIZATION (ACO) INDICATOR CODE FROM CWF (COMMON WORKING FILE), WHICH IDENTIFIES THE BENEFIT ENHANCEMENT INDICATOR THAT IDENTIFIES CLAIMS THAT QUALIFY FOR SPECIFIC CLAIM PROCESSING EDITS.  VALID VALUES:  Y = IF ANY OF THE FIVE CLAIM NG ACO INDICATOR CODES CONTAINS Ñ´Ò (3-DAY SNF WAIVER).  N = IF Ñ¶4Ò OR Ñ¸9Ò IS FOUND IN ANY OF THE CLM_DCMTN.CLM_DEMO_1ST_NUM THROUGH CLM_DCMTN.CLM_DEMO_5TH_NUM COLUMNS AND NONE OF THE FIVE NG ACO INDICATOR CODES CONTAINS Ñ´Ò®  NULL = DEFAULT",ExplanationOfBenefit,"['HHA', 'Hospice', 'Inpatient', 'Outpatient', 'SNF']",ExplanationOfBenefit.supportingInfo.where(category.coding.where(system='https://bluebutton.cms.gov/fhir/CodeSystem/Supporting-Information').exists() and category.coding.where(code='CLM_NGACO_SNF_WVR_SW').exists()).value,,"This field is deprecated in shared systems data. Its value can be derived as Y if any CLM_BNFT_ENHNCMT_X_CD  = 4, else N.",V2_MDCR_CLM_DCMTN,CLM_NGACO_SNF_WVR_SW,,['NCH'],,['CCLFA.CLM_NGACO_SNF_WVR_SW'],,['CMS']
277,Claim NGACO Telehealth Switch,"AN INTEGRATED DATA REPOSITORY (IDR) DERIVED INDICATOR BASED ON THE CLAIM NEXT GENERATION (NG) ACCOUNTABLE CARE ORGANIZATION (ACO) INDICATOR CODE FROM CWF (COMMON WORKING FILE), WHICH IDENTIFIES THE BENEFIT ENHANCEMENT INDICATOR THAT IDENTIFIES CLAIMS THAT QUALIFY FOR SPECIFIC CLAIM PROCESSING EDITS.  VALID VALUES:  Y = IF ANY OF THE FIVE CLAIM NG ACO INDICATOR CODES CONTAINS Ñ²Ò (TELEHEALTH).  N = IF Ñ¶4Ò OR Ñ¸9Ò IS FOUND IN ANY OF THE CLM_DCMTN.CLM_DEMO_1ST_NUM THROUGH CLM_DCMTN.CLM_DEMO_5TH_NUM COLUMNS AND NONE OF THE FIVE NG ACO INDICATOR CODES CONTAINS Ñ²Ò®  NULL = DEFAULT",ExplanationOfBenefit,"['HHA', 'Hospice', 'Inpatient', 'Outpatient', 'SNF']",ExplanationOfBenefit.supportingInfo.where(category.coding.where(system='https://bluebutton.cms.gov/fhir/CodeSystem/Supporting-Information').exists() and category.coding.where(code='CLM_NGACO_TLHLTH_SW').exists()).value,,"This field is deprecated in shared systems data. Its value can be derived as Y if any CLM_BNFT_ENHNCMT_X_CD  = 2, else N.",V2_MDCR_CLM_DCMTN,CLM_NGACO_TLHLTH_SW,,['NCH'],,['CCLFA.CLM_NGACO_TLHLTH_SW'],,['CMS']
278,Claim NGACO Capitation Switch,"AN INTEGRATED DATA REPOSITORY (IDR) DERIVED INDICATOR BASED ON THE CLAIM NEXT GENERATION (NG) ACCOUNTABLE CARE ORGANIZATION (ACO) INDICATOR CODE FROM CWF (COMMON WORKING FILE), WHICH IDENTIFIES THE BENEFIT ENHANCEMENT INDICATOR THAT IDENTIFIES CLAIMS THAT QUALIFY FOR SPECIFIC CLAIM PROCESSING EDITS.  VALID VALUES:  Y = IF ANY OF THE FIVE CLAIM NG ACO INDICATOR CODES CONTAINS Ñ´Ò (CAPITATION).  N = IF Ñ¶4Ò OR Ñ¸9Ò IS FOUND IN ANY OF THE CLM_DCMTN.CLM_DEMO_1ST_NUM THROUGH CLM_DCMTN.CLM_DEMO_5TH_NUM COLUMNS AND NONE OF THE FIVE NG ACO INDICATOR CODES CONTAINS Ñ´Ò®  NULL = DEFAULT",ExplanationOfBenefit,"['HHA', 'Hospice', 'Inpatient', 'Outpatient', 'SNF']",ExplanationOfBenefit.supportingInfo.where(category.coding.where(system='https://bluebutton.cms.gov/fhir/CodeSystem/Supporting-Information').exists() and category.coding.where(code='CLM_NGACO_CPTATN_SW').exists()).value,,"This field is deprecated in shared systems data. Its value can be derived as Y if any CLM_BNFT_ENHNCMT_X_CD  = 5, else N.",V2_MDCR_CLM_DCMTN,CLM_NGACO_CPTATN_SW,,['NCH'],,['CCLFA.CLM_NGACO_CPTATN_SW'],,['CMS']
279,Claim ACO Care Management HCBS Switch,"AN INTEGRATED DATA REPOSITORY (IDR) DERIVED INDICATOR BASED ON THE CLAIM LINE NEXT GENERATION (NG) ACCOUNTABLE CARE ORGANIZATION (ACO) INDICATOR CODE FROM CWF (COMMON WORKING FILE), WHICH IDENTIFIES THE BENEFIT ENHANCEMENT INDICATOR THAT IDENTIFIES CLAIMS THAT QUALIFY FOR SPECIFIC CLAIM PROCESSING EDITS.    VALID VALUES:    Y = IF ANY OF THE FIVE CLAIM LINE NG ACO INDICATOR CODES CONTAINS Ñ¶Ò (CARE MANAGEMENT HOME VISITS).    N = IF Ñ¶4Ò OR Ñ¸9Ò IS FOUND IN ANY OF THE CLM_DCMTN.CLM_DEMO_1ST_NUM THROUGH CLM_DCMTN.CLM_DEMO_5TH_NUM COLUMNS AND NONE OF THE FIVE NG ACO INDICATOR CODES CONTAINS Ñ¶Ò®    NULL = DEFAULT",ExplanationOfBenefit,"['HHA', 'Hospice', 'Inpatient', 'Outpatient', 'SNF']",ExplanationOfBenefit.supportingInfo.where(category.coding.where(system='https://bluebutton.cms.gov/fhir/CodeSystem/Supporting-Information').exists() and category.coding.where(code='CLM_ACO_CARE_MGMT_HCBS_SW').exists()).value,,"This field is deprecated in shared systems data. Its value can be derived as Y if any CLM_BNFT_ENHNCMT_X_CD  = 7, else N.",V2_MDCR_CLM_DCMTN,CLM_ACO_CARE_MGMT_HCBS_SW,,['NCH'],,['CCLFA.CLM_NGACO_CMG_WVR_SW'],,['CMS']
280,Claim Line NGACO PBPMT Switch,"AN INTEGRATED DATA REPOSITORY (IDR) DERIVED INDICATOR BASED ON THE CLAIM LINE NEXT GENERATION (NG) ACCOUNTABLE CARE ORGANIZATION (ACO) INDICATOR CODE FROM CWF (COMMON WORKING FILE), WHICH IDENTIFIES THE BENEFIT ENHANCEMENT INDICATOR THAT IDENTIFIES CLAIMS THAT QUALIFY FOR SPECIFIC CLAIM PROCESSING EDITS.  VALID VALUES:  Y = IF ANY OF THE FIVE CLAIM NG ACO INDICATOR CODES CONTAINS Ñ°Ò (POPULATION BASED PAYMENTS (PBP)).  N = IF Ñ¶4Ò OR Ñ¸9Ò IS FOUND IN ANY OF THE CLM_DCMTN.CLM_DEMO_1ST_NUM THROUGH CLM_DCMTN.CLM_DEMO_5TH_NUM COLUMNS AND NONE OF THE FIVE NG ACO INDICATOR CODES CONTAINS Ñ°Ò®  NULL = DEFAULT",ExplanationOfBenefit,['Carrier'],ExplanationOfBenefit.supportingInfo.where(category.coding.where(system='https://bluebutton.cms.gov/fhir/CodeSystem/Supporting-Information').exists() and category.coding.where(code='CLM_LINE_NGACO_PBPMT_SW').exists()).value,,"This field is deprecated in shared systems data. Its value can be derived as Y if any CLM_LINE_BNFT_ENHNCMT_X_CD = 1, else N.",V2_MDCR_CLM_LINE_DCMTN,CLM_LINE_NGACO_PBPMT_SW,,['NCH'],,['CCLFB.CLM_LINE_NGACO_PBPMT_SW'],,['CMS']
281,Claim Line NGACO Post Discharge HCBS Switch,"AN INTEGRATED DATA REPOSITORY (IDR) DERIVED INDICATOR BASED ON THE CLAIM LINE NEXT GENERATION (NG) ACCOUNTABLE CARE ORGANIZATION (ACO) INDICATOR CODE FROM CWF (COMMON WORKING FILE), WHICH IDENTIFIES THE BENEFIT ENHANCEMENT INDICATOR THAT IDENTIFIES CLAIMS THAT QUALIFY FOR SPECIFIC CLAIM PROCESSING EDITS.  VALID VALUES:  Y = IF ANY OF THE FIVE CLAIM NG ACO INDICATOR CODES CONTAINS Ñ²Ò (POST DISCHARGE HOME VISITS).  N = IF Ñ¶4Ò OR Ñ¸9Ò IS FOUND IN ANY OF THE CLM_DCMTN.CLM_DEMO_1ST_NUM THROUGH CLM_DCMTN.CLM_DEMO_5TH_NUM COLUMNS AND NONE OF THE FIVE NG ACO INDICATOR CODES CONTAINS Ñ²Ò®  NULL = DEFAULT",ExplanationOfBenefit,['Carrier'],ExplanationOfBenefit.supportingInfo.where(category.coding.where(system='https://bluebutton.cms.gov/fhir/CodeSystem/Supporting-Information').exists() and category.coding.where(code='CLM_LINE_NGACO_PDSCHRG_HCBS_SW').exists()).value,,"This field is deprecated in shared systems data. Its value can be derived as Y if any CLM_LINE_BNFT_ENHNCMT_X_CD = 3, else N.",V2_MDCR_CLM_LINE_DCMTN,CLM_LINE_NGACO_PDSCHRG_HCBS_SW,,['NCH'],,['CCLFB.CLM_LINE_NGACO_PDSCHRG_HCBS_SW'],,['CMS']
282,Claim Line NGACO SNF Waiver Switch,"AN INTEGRATED DATA REPOSITORY (IDR) DERIVED INDICATOR BASED ON THE CLAIM LINE NEXT GENERATION (NG) ACCOUNTABLE CARE ORGANIZATION (ACO) INDICATOR CODE FROM CWF (COMMON WORKING FILE), WHICH IDENTIFIES THE BENEFIT ENHANCEMENT INDICATOR THAT IDENTIFIES CLAIMS THAT QUALIFY FOR SPECIFIC CLAIM PROCESSING EDITS.  VALID VALUES:  Y = IF ANY OF THE FIVE CLAIM NG ACO INDICATOR CODES CONTAINS Ñ´Ò (3-DAY SNF WAIVER).  N = IF Ñ¶4Ò OR Ñ¸9Ò IS FOUND IN ANY OF THE CLM_DCMTN.CLM_DEMO_1ST_NUM THROUGH CLM_DCMTN.CLM_DEMO_5TH_NUM COLUMNS AND NONE OF THE FIVE NG ACO INDICATOR CODES CONTAINS Ñ´Ò®  NULL = DEFAULT",ExplanationOfBenefit,['Carrier'],ExplanationOfBenefit.supportingInfo.where(category.coding.where(system='https://bluebutton.cms.gov/fhir/CodeSystem/Supporting-Information').exists() and category.coding.where(code='CLM_LINE_NGACO_SNF_WVR_SW').exists()).value,,"This field is deprecated in shared systems data. Its value can be derived as Y if any CLM_LINE_BNFT_ENHNCMT_X_CD = 4, else N.",V2_MDCR_CLM_LINE_DCMTN,CLM_LINE_NGACO_SNF_WVR_SW,,['NCH'],,['CCLFB.CLM_LINE_NGACO_SNF_WVR_SW'],,['CMS']
283,Claim Line NGACO Telehealth Switch,"AN INTEGRATED DATA REPOSITORY (IDR) DERIVED INDICATOR BASED ON THE CLAIM LINE NEXT GENERATION (NG) ACCOUNTABLE CARE ORGANIZATION (ACO) INDICATOR CODE FROM CWF (COMMON WORKING FILE), WHICH IDENTIFIES THE BENEFIT ENHANCEMENT INDICATOR THAT IDENTIFIES CLAIMS THAT QUALIFY FOR SPECIFIC CLAIM PROCESSING EDITS.  VALID VALUES:  Y = IF ANY OF THE FIVE CLAIM NG ACO INDICATOR CODES CONTAINS Ñ²Ò (TELEHEALTH).  N = IF Ñ¶4Ò OR Ñ¸9Ò IS FOUND IN ANY OF THE CLM_DCMTN.CLM_DEMO_1ST_NUM THROUGH CLM_DCMTN.CLM_DEMO_5TH_NUM COLUMNS AND NONE OF THE FIVE NG ACO INDICATOR CODES CONTAINS Ñ²Ò®  NULL = DEFAULT",ExplanationOfBenefit,['Carrier'],ExplanationOfBenefit.supportingInfo.where(category.coding.where(system='https://bluebutton.cms.gov/fhir/CodeSystem/Supporting-Information').exists() and category.coding.where(code='CLM_LINE_NGACO_TLHLTH_SW').exists()).value,,"This field is deprecated in shared systems data. Its value can be derived as Y if any CLM_LINE_BNFT_ENHNCMT_X_CD = 2, else N.",V2_MDCR_CLM_LINE_DCMTN,CLM_LINE_NGACO_TLHLTH_SW,,['NCH'],,['CCLFB.CLM_LINE_NGACO_TLHLTH_SW'],,['CMS']
284,Claim Line NGACO Capitation Switch,"AN INTEGRATED DATA REPOSITORY (IDR) DERIVED INDICATOR BASED ON THE CLAIM LINE NEXT GENERATION (NG) ACCOUNTABLE CARE ORGANIZATION (ACO) INDICATOR CODE FROM CWF (COMMON WORKING FILE), WHICH IDENTIFIES THE BENEFIT ENHANCEMENT INDICATOR THAT IDENTIFIES CLAIMS THAT QUALIFY FOR SPECIFIC CLAIM PROCESSING EDITS.  VALID VALUES:  Y = IF ANY OF THE FIVE CLAIM NG ACO INDICATOR CODES CONTAINS Ñ´Ò (CAPITATION).  N = IF Ñ¶4Ò OR Ñ¸9Ò IS FOUND IN ANY OF THE CLM_DCMTN.CLM_DEMO_1ST_NUM THROUGH CLM_DCMTN.CLM_DEMO_5TH_NUM COLUMNS AND NONE OF THE FIVE NG ACO INDICATOR CODES CONTAINS Ñ´Ò®  NULL = DEFAULT",ExplanationOfBenefit,['Carrier'],ExplanationOfBenefit.supportingInfo.where(category.coding.where(system='https://bluebutton.cms.gov/fhir/CodeSystem/Supporting-Information').exists() and category.coding.where(code='CLM_LINE_NGACO_CPTATN_SW').exists()).value,,"This field is deprecated in shared systems data. Its value can be derived as Y if any CLM_LINE_BNFT_ENHNCMT_X_CD = 5, else N.",V2_MDCR_CLM_LINE_DCMTN,CLM_LINE_NGACO_CPTATN_SW,,['NCH'],,['CCLFB.CLM_LINE_NGACO_CPTATN_SW'],,['CMS']
