Source system,Field name,Source copybook field label,RDA API field label,Category,Copybook data dictionary name (if different),Source system definition,Plain language definition,Additional context ,Enum Y/N,Source system field types and values according to their documentation,Copybook source,Version added,CCLF Mapping,CCW Mapping ,837 Mapping ,FISS <> MCS Mapping,Open questions 
FISS,Cross-reference Document Control Number,XREF-DCN-NBR,fiss_claims.xref_dcn_nbr,Claim processing,n/a,"This field is the identification number of the claim to be adjusted. This is only used on cancel and adjustment transactions. It provides a cross-reference number for the control and monitoring of specific claims, and to differentiate between claims for the beneficiary. This is a unique field created by the system.",,"This field is populated on the ""new"" claim that is performing the adjustment or cancelation. It refers to the parent claim that is being adjusted or canceled.",N,"Alphanumeric, 23 characters",FSRCCXLB,0.5,,,,,
FISS,Cross-Reference Health Insurance Claim Number,XREF-HIC-NBR,fiss_claims.xref_hic_nbr,Beneficiary information,n/a,This field identifies an internal field used to hold the original HIC number when a cross-reference HIC is utilized.,,,N,"Alphanumeric, 12 characters",FSRCCLXB,0.5,,,,,
FISS,Bit Flags,BIT-FLAGS,fiss_diagnosis_codes.bit_flags,Service information,n/a,This field identifies the reason for a cancel without a corresponding repayment.,,,,"4 characters, alphanumeric",FSRCCLXB,0.2,,,,,
FISS,Diagnosis Code Two,DIAG-CD-2,fiss_diagnosis_codes.diag_cd_2,Service information,n/a,"This field identifies the International Classification of Diseases (ICD) -9 or ICD-10 code describing the condition of the patient for a particular claim record, which co-exist at the time of admission, or develop subsequently. For copybooks where this field contains up to twenty five diagnosis’ occurrences, the first occurrence describes the principle diagnosis, the second through twenty fifth occurrences describe the additional/secondary diagnosis. Other copybooks identify this field as the patient’s second diagnosis code.",,,N,"7 characters, alphanumeric",FSRCCLXB,0.2,,,,,
FISS,Diagnosis Present On Admission (POA) Indicator,DIAG-POA-IND,fiss_diagnosis_codes.poa_ind,Service information,n/a,"This field identifies the patient’s condition that is present at the time the order for inpatient admission to a general acute care hospital occurs. This indicator is assigned to every principal and secondary diagnosis on an inpatient acute care hospital claim, and the external cause of injury codes. Conditions that develop during an outpatient encounter, including emergency department, observation, or outpatient surgery, are considered as present on admission. The Centers for Medicare and Medicaid Services (CMS) does not require a POA indicator for the external cause of injury code unless it is being reported as another diagnosis. Effective with discharges on or after 10/01/07.",,,N,"1 character, alphanumeric

N = No, not present at the time of inpatient admission.U = Unknown, the documentation is insufficient to determine if the condition was present at the time of inpatient admission.
W = Clinically undetermined, the provider is unable to clinically determine whether the condition was present at the time of inpatient admission or not.
Y = Yes, Present at the time of inpatient admission.
1 = Unreported/not used, exempt from POA reporting - This code is the equivalent code of a blank on the UB04, however, it is determined that blanks are undesirable when submitting the data via the 4010A1.
Blank space = Not acute care, POA does not apply.",FSRCCLXB,0.2,,,,,
FISS,Beneficiary Date of Birth,BENE-DOB,fiss_patients.bene_dob,Beneficiary information,n/a,"The field identifies the century, year, month, and day of the beneficiary/patient’s date of birth.",,,N,"8 characters, alphanumeric",FSRCCLXB,0.4,,,,,
FISS,Beneficiary First Name,BENE-FIRST-NAME,fiss_patients.bene_first_name,Beneficiary information,n/a,This field identifies the first name of the beneficiary/patient.,,,N,"10 characters, alphanumeric",FSRCCLXB,0.4,,,,,
FISS,Beneficiary Last Name,BENE-LAST-NAME,fiss_patients.bene_last_name,Beneficiary information,n/a,This field identifies the last name of the beneficiary/patient.,,,N,"15 characters, alphanumeric",FSRCCLXB,0.4,,,,,
FISS,Beneficiary Middle Initial,BENE-MID-INIT,fiss_patients.bene_mid_init,Beneficiary information,n/a,This field identifies the middle initial of the beneficiary/patient.,,,N,"1 character, alphanumeric",FSRCCLXB,0.4,,,,,
FISS,Beneficiary Relationship,BENE-REL,fiss_patients.bene_rel,Beneficiary information,n/a,This field identifies the beneficiary/patient relationship to the insured.,,,Y,"2 digits, numeric

The value of this field is always ""01"" which means ""self."" 
See Table 156 from the FISS Quick Reference, copied into Tab C for convenience. ",FSRCCLXB,0.4,,,,,
FISS,Beneficiary Sex,BENE-SEX,fiss_patients.bene_sex,Beneficiary information,n/a,The field identifies the sex of the beneficiary/patient for the record.,,,Y,"1 character, alphanumeric
F = Female
M = Male
U = Unknown",FSRCCLXB,0.4,,,,,
FISS,Beneficiary SSN/HIC,BENE-SSN-HIC,fiss_patients.bene_ssn_hic,Beneficiary information,n/a,This field identifies the Social Security Number (SSN)/Health Insurance Claim (HIC) number of the beneficiary.,,,N,"19 characters, alphanumeric",FSRCCLXB,0.4,,,,,We'd like to understand why this field is 19 characters long. SSNs are 9 char and HICNs are 11 characters. 
FISS,Adjusting Document Control Number,ADJ-DCN-ICN,fiss_payers.adj_dcn_icn,Payer and insured information,n/a,"This field identifies the document control number of the claim being adjusted. This is the DCN to be adjusted according to the provider. This field matches the XREF DCN on claim page 6, if the provider gave the correct DCN to be adjusted.",,,N,"Alphanumeric, 23 digits",FSRCCXLB,0.4,,,,,
FISS,Assignment of Benefits Indicator,ASSIGN-IND,fiss_payers.assign_ind,Payer and insured information,n/a,This field identifies whether or not the provider has on file a signed form authorizing the third-party payer to pay the provider for claim benefits.,,,Y,"Alphanumeric, 1 digit

Y = Benefits assigned
N = No benefits assigned",FSRCCXLB,0.4,,,,,
FISS,Estimated Amount Due,EST-AMT-DUE,fiss_payers.est_amt_due,Payer and insured information,n/a,This field identifies the amount estimated by the provider that is still due from the indicated payer (estimated responsibility less prior payments.,,,N,"Numeric, dollar amount",FSRCCXLB,0.4,,,,,
FISS,Insured Date of Birth,INSURED-DOB,"fiss_payers.insured_dob,

fiss_payers.insured_dob_text",Payer and insured information,n/a,"This field identifies the insured’s date of birth, in MMDDCCYY format.",,"The FISS definition of the field refers to the format in the FISS copybook. RDA API provides this field in two different formats, described in the column to the right.",N,"RDA API provides this field in two different formats.
fiss_payers.insured_dob is in CCYY-MM-DD format.
fiss_payers.insured_dob_text provides the DOB as a single string rather than a series of digit fields, so that if the DOB parsing fails, users have the original string for reference.",FSRCCXLB,0.4,,,,,
FISS,Insured Group Name,INSURED-GROUP-NAME,fiss_payers.insured_group_name,Payer and insured information,n/a,This field identifies the name of the group or plan through which the insurance is provided to the insured.,,,N,"Alphanumeric, 17 characters",FSRCCXLB,0.4,,,,,
FISS,Insurance Group Number,INSURED-GROUP-NBR,fiss_payers.insured_group_nbr,Payer and insured information,n/a,"This field identifies the policy number (identification number, control number, or code) assigned by the carrier or administrator to identify the group number through which the insurance is provided to the insured.",,,N,"Alphanumeric, 20 characters",FSRCCXLB,0.4,,,,,
FISS,Insured Name,INSURED-NAME,fiss_payers.insured_name,Payer and insured information,n/a,"This field identifies the insured’s name (last, and first) carrying health care coverage. This name can be the beneficiary/patient’s and/or an individual with a relationship to the beneficiary/patient.",,,N,"Alphanumeric, Last name is 15 characters, first name is 10 characters",FSRCCXLB,0.4,,,,,
FISS,Insured Relationship,INSURED-REL,fiss_payers.insured_rel,Payer and insured information,n/a,This field identifies the insured’s relationship to the beneficiary/patient,,This field uses codes specified for the UB-04 form.,Y,"Numeric, 2 digits 

See Table 156, UB-04 Patient Relationship Codes, from the FISS Quick Reference, copied in tab C for convenience.",FSRCCXLB,0.4,,,,,There are two similar fields with slightly different encodings: INSURED-REL and INSURED-REL-X12. Are they both useful or is one of them more useful than the other? 
FISS,Patient Relationship to the Insured,INSURED-REL-X12,fiss_payers.insured_rel_x12,Payer and insured information,n/a,This field identifies the relationship of the patient to the identified insured.,,This field uses codes specified by the X12 consortium.,Y,"Numeric, 2 digits.
See Table 164, X12 Patient Relationships Codes, from the FISS Quick Reference, copied below for convenience.",FSRCCXLB,0.4,,,,,There are two similar fields with slightly different encodings: INSURED-REL and INSURED-REL-X12. Are they both useful or is one of them more useful than the other? 
FISS,Insured Sex,INSURED-SEX,fiss_payers.insured_sex,Payer and insured information,n/a,This field identifies the gender of the beneficiary.,,,Y,"Alphanumeric, 1 character

F = Female, M = Male, U = Unknown",FSRCCXLB,0.4,,,,,"Is this field ever populated for the insured, or just for the beneficiary? "
FISS,Certification-Social Security Number-Health Insurance Claim,INSURED-SSN-HIC,fiss_payers.insured_ssn_hic,Payer and insured information,n/a,This field identifies the insurer assigned beneficiary number or the Centers for Medicare and Medicaid Services (CMS) assigned Health Insurance Claim (HIC) number used in all correspondence and to facilitate the payment of claims.,,,N,"Alphanumeric, 19 characters",FSRCCXLB,0.4,,,,,
FISS,Payers Identification,PAYERS-ID,fiss_payers.payers_id,Payer and insured information,n/a,This field identifies the primary insurer’s payer code associated with the claim.,,"Medicare could be the primary, secondary, or tertiary payer.

A key value to know is that PAYERS-ID = 'Z' refers to Medicare. So if the PAYERS-ID field in the first position of the table is Z, that means Medicare is the primary payer.",,"Alphanumeric, 1 digit 
See Table 91, Payer Codes, in the FISS Quick Reference, copied in tab C for convenience.
",FSRCCXLB,0.4,,,,,"Should we note here or elsewhere that Medicare beneficaries will appear twice in the FISS claim, but under the bene fields but also in whatever payer record the Medicare bene information is recorded in (might be primary, secondary or tertiary)"
FISS,Payers Name,PAYERS-NAME,fiss_payers.payers_name,Payer and insured information,n/a,This field identifies the primary insurer’s payer name associated with the claim.,,"The insurer named in this field could be primary, secondary, or tertiary.",,"Alphanumeric, 32 digits",FSRCCXLB,0.4,,,,,
FISS,Prior Payments,PRIOR-PMT,fiss_payers.prior_pmt,Payer and insured information,n/a,This field is not used by FISS.,,,,"Numeric, dollar amount",FSRCCXLB,0.4,,,,,
FISS,Provider Number,PROVIDER-NUMBER,fiss_payers.provider_number,Payer and insured information,n/a,This field contains the Medicare number as assigned by the Centers for Medicare and Medicaid Services (CMS) and is used to identify the provider rendering Medicare services. This field may be used to access data for the record.,,This field refers to the provider of the services to the patient.,,"Alphanumeric, 13 digits",FSRCCXLB,,,,,,
FISS,Release of Information,REL-IND,fiss_payers.rel_ind,Payer and insured information,n/a,This field identifies whether or not the provider has on file a signed statement permitting the provider to release data to other organizations in order to adjudicate the claim.,,,,"Alphanumeric, 1 digit

N = No release on file
R = Signed statement is restricted or limited
Y = Signed statement was obtained",FSRCCXLB,0.4,,,,,
FISS,Home Health Prospective Payment System Treatment Authorization Code,TREAT-AUTH-CD,fiss_payers.treat_auth_cd,Payer and insured information,n/a,"This field identifies a matching key to the Outcome Assessment Information Set (OASIS) of the patient. This field is also used to report the Unique Tracking Number (UTN) for Prior Authorization. For Home Health 32X claims, report the UTN immediately after the HHPPS OASIS Treatment Authorization code. For all other bill types, the UTN is keyed in positions 1-14. This field is also used to identify a Center for Excellence or Provider Partnership Demonstration for NOA Type of Bill '11A' and '11D' or CJR Demonstration 75 for SNF Type of Bill 21X.",,,,"Alphanumeric, 18 characters long 


Valid values:
07 = Centers for Excellence
08 = Providers Partnership Demonstration
SPN65 = Re-billed claims due to auditor denials

SPN66 = Re-billed claims due to provider self-audit after claim submission/payment
SPN67 = Re-billed claims due to provider self-audit after the patient has been discharged, but prior to submission for payment


75 = Demonstration 75 for SNF claims for the CRJ Model",FSRCCXLB,0.4,,,,,
FISS,Procedure Code,PROC-CD,fiss_proc_codes.proc_cd,Service information,n/a,This field identifies the principal procedure (first code) and other procedures (codes two through twenty five) performed during the billing period covered by the claim. This field is required for inpatient claims.,,"Part A claims will not necessarily have a procedure specified. 
Procedure codes are conditionally required based on other items (HCPC, diagnosis, condition codes, value codes) billed on the claim. At least one diagnosis is required while procedure codes are conditional.",N,"10 digits, alphanumeric",FSRCCLXB,0.1,,,,,
FISS,Procedure Date,PROC-DT,fiss_proc_codes.proc_dt,Service information,n/a,"This field is the group level name for the date (year, month and day) of the Procedure Code on the claim.",,"Procedure dates are a single date, not a date range. If the procedure happened to span two days (E.g. an operation that started before midnight and ended after midnight), only one date would be captured on the claim.",N,Date,FSRCCLXB,0.1,,,,,
FISS,Procedure Flag,PROC-FLAG,fiss_proc_codes.proc_flag,Service information,n/a,This field identifies a set of flags returned from the Medicare Code Editor (MCE) module to indicate claim procedure code errors.,,,,"4 digits, alphanumeric",FSRCCLXB,0.1,,,,,
MCS,Adjust Claim Beneficiary EOMB Amount,IDR-ADJ-B-EOMB-AMT,mcs_adjustments.idr_adj_b_eomb_amt,Claim processing,ADJ-B-EOMB-AMT,"For each adjusted claim, this is the net amount of payment to the beneficiary of all payments and previous adjustments to the claim. Net amount equals total beneficiary previous payment minus total beneficiary return checks.
This amount appears only on the original claim.",,This field is in the XTRL-TBL in the X Trailer. The table occurs 17 times.,,"Dollar amount, 7 characters",H99YBID1,0.5,,,,,
MCS,Check Write Date,IDR-ADJ-CHK-WRT-DT,mcs_adjustments.idr_adj_chk_wrt_dt,Claim processing,ADJ-CHK-WRT-DT,The date on which the adjustment claim check was written. This field is populated only on the original claim X Trailer.,,This field is in the XTRL-TBL in the X Trailer. The table occurs 17 times.,,Date,H99YBID1,0.5,,,,,
MCS,Adjustment Clerk Identifier,IDR-ADJ-CLERK,mcs_adjustments.idr_adj_clerk,Claim processing,ADJ-CLERK,This field contains the identification number of the clerk initiating the change.,,This field is in the XTRL-TBL in the X Trailer. The table occurs 17 times.,,"Alphanumeric, 4 characters",H99YBID1,0.5,,,,,
MCS,Date the Trailer Was Modified,IDR-ADJ-DATE,mcs_adjustments.idr_adj_date,Claim processing,ADJ-DATE,This is the date on which the last change was made on the adjustment information contained within the X Trailer segment.,,This field is in the XTRL-TBL in the X Trailer. The table occurs 17 times.,,Date format,H99YBID1,0.5,,,,,
MCS,Adjust Claim Provider EOMB Amount,IDR-ADJ-P-EOMB-AMT,mcs_adjustments.idr_adj_p_eomb_amt,Claim processing,ADJ-P-EOMB-AMT,"For each adjusted claim, this is the net amount of payment to the provider of all payments and previous adjustments to the claim. Net amount equals total provider previous payment minus total provider return checks.
This amount appears only on the original claim.",,This field is in the XTRL-TBL in the X Trailer. The table occurs 17 times.,,"Dollar amount, 7 characters",H99YBID1,0.5,,,,,
MCS,Initiating Correspondence Control Number (CCN) Number,IDR-INIT-CCN,mcs_adjustments.idr_init_ccn,Claim processing,INIT-CCN,This field is used for adjustment claims only. It carries the correspondence control number associated to the review request letter.,,In a table that occurs 17 times.,,"Numeric, 15 characters",H99YBID1,0.5,,,,,
MCS,Cross-reference Internal Control Number,IDR-XREF-ICN,mcs_adjustments.idr_xref_icn,Claim processing,XREF-ICN,"XREF-ICN: This field is used on split claims and/or full-claim adjustments. For all other instances the field is zero filled.
One of the following ICN values display in this field:
For adjustment claims, this field carries the ICN of the claim it replaced.
For split claims this field carries the ICN of the mother claim.",,In a table that occurs 17 times. ,,"Numeric, 15 characters",H99YBID1,0.5,,,,,
MCS,Cutback Audit Disposition,IDR-J-AUDIT-DISP,mcs_audits.idr_j_audit_disp,Claim processing,J-AUDIT-DISP,This item is used to identify the disposition of the J-AUDIT-NUM field.,,In a table that occurs 12 times.,,"Alphanumeric, 1 character. 
See Audit Disposition table in tab C. ",H99YBID1,0.5,,,,,
MCS,Cutback Audit Indicator,IDR-J-AUDIT-IND,mcs_audits.idr_j_audit_ind,Claim processing,J-AUDIT-IND,The value in this field indicates if the number displayed in the J-AUDIT-NUM field is an audit or edit,,In a table that occurs 12 times.,,"Alphanumeric, 1 character
A = Audit number
H = Edit number
Space = J-AUDIT-NUM is zeroes",H99YBID1,0.5,,,,,
MCS,Cutback Audit,IDR-J-AUDIT-NUM,mcs_audits.idr_j_audit_num,Claim processing,J-AUDIT-NUM,"This item is used to identify the audit number, which indicates the reason for denial.",,In a table that occurs 12 times.,,"Numeric, 3 characters",H99YBID1,0.5,,,,,
MCS,Ambulance Drop-off First Address Line,IDR-AMB-DROPOFF-ADDR-LINE1,mcs_claims.idr_amb_dropoff_addr_line1,Service information,AMB-DROPOFF-ADDR-LINE1,This field contains the ambulance drop-off first address line.,,,,"Alphanumeric, 25 char",H99YBID1,0.5,,,,,
MCS,Ambulance Drop-off Second Address Line,IDR-AMB-DROPOFF-ADDR-LINE2,mcs_claims.idr_amb_dropoff_addr_line2,Service information,AMB-DROPOFF-ADDR-LINE2,This field contains the ambulance drop-off second address line.,,,,"Alphanumeric, 20 char",H99YBID1,0.5,,,,,
MCS,Ambulance Drop-off City,IDR-AMB-DROPOFF-CITY,mcs_claims.idr_amb_dropoff_city,Service information,AMB-DROPOFF-CITY,This field contains the ambulance drop-off location's city.,,,,"Alphanumeric, 20 char",H99YBID1,0.5,,,,,
MCS,Ambulance Drop-off Location Name,IDR-AMB-DROPOFF-NAME,mcs_claims.idr_amb_dropoff_name,Service information,AMB-DROPOFF-NAME,This field contains the name of the ambulance drop-off location.,,,,"Alphanumeric, 24 char",H99YBID1,0.5,,,,,
MCS,Ambulance Drop-off State,IDR-AMB-DROPOFF-STATE,mcs_claims.idr_amb_dropoff_state,Service information,AMB-DROPOFF-STATE,This field contains the ambulance drop-off location's State code.,,,,"Alphanumeric, 2 char",H99YBID1,0.5,,,,,
MCS,Ambulance Drop-off Location ZIP Code,IDR-AMB-DROPOFF-ZIPCODE,mcs_claims.idr_amb_dropoff_zipcode,Service information,AMB-DROPOFF-ZIPCODE,This field contains the ambulance drop-off location's zip code.,,,,"Alphanumeric, 9 char",H99YBID1,0.5,,,,,
MCS,Ambulance Pick Up Address - First Line,IDR-AMB-PICKUP-ADDRES-LINE1,mcs_claims.idr_amb_pickup_addres_line1,Service information,AMB-PICKUP-ADDRES-LINE1,This field contains the first line of the address for the ambulance pick up location.,,,,"Alphanumeric, 25 char",H99YBID1,0.5,,,,,
MCS,Ambulance Pick Up Address - Second Line,IDR-AMB-PICKUP-ADDRES-LINE2,mcs_claims.idr_amb_pickup_addres_line2,Service information,AMB-PICKUP-ADDRES-LINE2,This field contains the second line of the address for the ambulance pick up location.,,,,"Alphanumeric, 20 char",H99YBID1,0.5,,,,,
MCS,Ambulance Pick Up City,IDR-AMB-PICKUP-CITY,mcs_claims.idr_amb_pickup_city,Service information,AMB-PICKUP-CITY,This field contains the ambulance pickup location's city.,,,,"Alphanumeric, 20 char",H99YBID1,0.5,,,,,
MCS,Ambulance Pick Up State,IDR-AMB-PICKUP-STATE,mcs_claims.idr_amb_pickup_state,Service information,AMB-PICKUP-STATE,This field contains the ambulance pickup location's State code.,,,,"Alphanumeric, 2 char",H99YBID1,0.5,,,,,
MCS,Ambulance Pick Up ZIP Code,IDR-AMB-PICKUP-ZIPCODE,mcs_claims.idr_amb_pickup_zipcode,Service information,AMB-PICKUP-ZIPCODE,This field contains the ambulance pickup location's zip code.,,,,"Alphanumeric, 9 char",H99YBID1,0.5,,,,,
MCS,Claim Assignment Code,IDR-ASSIGNMENT,mcs_claims.idr_assignment,Claim processing,ASSIGNMENT,"This code identifies the assignment code, as indicated on the submitted claim. For online claim entry, this value may be system generated, based on the assignment code value entered with a specific range of ICN codes via the Entry Screen. However, the value can be manually generated, as necessary.",,,,"Alphanumeric, 1 character

A = Assigned 
B = Non-assigned claim submitted with both clinical lab and non-clinical lab services (the system will auto split these during the batch process and revise the assignment indicator to ‘A’ and ‘N’). This value applies only to pending claim records.G = Group assigned
N = Non-assigned",H99YBID1,0.5,,,,,
MCS,Beneficiary First Initial,IDR-BENE-FIRST-INIT,mcs_claims.idr_bene_first_init,Beneficiary information,BENE-FIRST-INIT,The field contains the first character of the beneficiary’s first name.,,,N,"1 character, alphanumeric",H99YBID1,0.2,,,,BENE-FIRST-NAME,
MCS,Beneficiary Middle Initial,IDR-BENE-MID-INIT,mcs_claims.idr_bene_first_init,Beneficiary information,BENE-MID-INIT,"This field carries the beneficiary's middle initial..
On the Pending Claim record, this data may be system generated on the Claim Entry screen if a HIC number or beneficiary alpha look-up transaction is performed and a matching record exists on file. Or the data may be manually entered.",,,N,"1 character, alphanumeric.",H99YBID1,0.2,,,,BENE-MID-INIT,
MCS,Beneficiary Last Name,IDR-BENE-LAST-1-6,mcs_claims.idr_bene_last_1_6,Beneficiary information,BENE-LAST-1-6,This field contains the first six characters of the beneficiary's last name,,,N,"6 characters, alphanumeric",H99YBID1,0.2,,,,BENE-LAST-NAME,
MCS,Beneficiary Sex,IDR-BENE-SEX,mcs_claims.idr_bene_sex,Beneficiary information,BENE-SEX,The field identifies the sex of the beneficiary/patient for the record.,,,Y,"1 character, alphanumeric
F = Female
M = Male
O = Unknown",H99YBID1,0.2,,,,BENE-SEX,
MCS,Billing Provider County,IDR-BILL-PROV-COUNTY,mcs_claims.idr_bill_prov_county,Provider information,BILL-PROV-COUNTY,This field identifies the county in which the provider's office is located.,,,,,H99YBID1,0.2,,,,,"What codes are used to indicate the county? 
A from Shared System Maintainers: The county code relates to provider localities and are MAC/region specific, so there is no common list of county codes. It is from the provider record and not used in claims processing."
MCS,Billing Provider EIN,IDR-BILL-PROV-EIN,mcs_claims.idr_bill_prov_ein,Provider information,BILL-PROV-EIN,This field must be filled with either the Social Security Number or the Tax Identification Number/Employer Identification Number to identify the provider on payment records and to accumulate payment data for the Internal Revenue Service. The 10th character is set to ‘E’ if EIN or ‘S’ if SSN.,,,,"10 digits, alphanumeric.",H99YBID1,0.2,,,,,
MCS,Billing Provider Group Indicator,IDR-BILL-PROV-GROUP-IND,mcs_claims.idr_bill_prov_group_ind,Provider information,BILL-PROV-GROUP-IND,This field is used to identify an individual provider as a member of a specific group or clinic whose members share a common payee name and address. It allows charges from group members to be paid on the same assigned claim and is used for accumulation of payment data for summary check preparation. Each member of the group must have the same clinic code.,,"Per S1450000, this value is not passed to Phase I.",,"Per S145000, valid values are:
G – if Group Provider, otherwise blank",H99YBID1,0.2,,,,,
MCS,Billing Provider Locality,IDR-BILL-PROV-LOC,mcs_claims.idr_bill_prov_loc,Provider information,BILL-PROV-LOC,This field is a two-character code that is used to designate the provider’s pricing locality or area. The pricing locality code is assigned to the provider by the area A/B MAC/Legacy Contractor (hereafter referred to as Medicare Contractor) which has Part B Medicare jurisdiction. It is used when accessing area specific fee schedule information.,,,,"01 – 99
The definition of the value is unique for each MAC.",H99YBID1,0.2,,,,,
MCS,National Provider Identification,IDR-BILL-PROV-NPI,mcs_claims.idr_bill_prov_npi,Provider information,BILL-PROV-NPI,This segment of data carries the National Provider Identification (NPI) number for the billing provider.,,"NPIs are issued by the National Plan and Provider Enumeration System (NPPES). 

In 2007, the DHHS issued guidance that the NPI will replace the Medicare/Medicaid Provider Number as the primary identifier on Medicare claims. Per the linked guidance above, ""The Medicare/Medicaid Provider Number will continue to be issued and used to verify Medicare/Medicaid certification. The Medicare/Medicaid Provider Number was also renamed as the CMS Certification Number, or CCN.""",,"10 characters, alphanumeric",H99YBID1,0.2,,,,,
MCS,Billing Provider Number,IDR-BILL-PROV-NUM,mcs_claims.idr_bill_prov_num,Provider information,BILL-PROV-NUM,This is the number identifying the billing provider for this claim the EMC Submitter File number assigned to providers authorized to submit Medicare claims by electronic media. This number is retained in the submitted file of authorized billing providers.,,"Per S1450000, this is the ""legacy provider number"" also known as the PIN or PTAN of the Group of Individual Billing Provider for this claim.",,"10 characters, alphanumeric",H99YBID1,0.2,,,,,
MCS,Billing Provider Pricing Specialty,IDR-BILL-PROV-PRICE-SPEC,mcs_claims.idr_bill_prov_price_spec,Provider information,BILL-PROV-PRICE-SPEC,"The billing provider pricing specialty code is a two-character code that identifies the provider's specialty. This field is used to store the provider's specialty code used for reasonable charge computation and on-line pricing purposes. 

In the B-States and RRB, the field on the provider data base is populated with an internally assigned value that represents a combination of similar specialty codes which are grouped together for reasonable charge computation purposes. In the RI, RRB and DMERC regions the value is the same as the CMS-maintained specialty code.",,,,"See MCS document S0106010 for details on provider values. 
A list of the provider specialties can be obtained by accessing the CMS IOM 100-04, Chapter 26, Section 10.8 – Requirements for Specialty Codes, in the Medicare Claims Processing Manual.
The list is too lengthy to be pasted on this page but the RDA API team will explore the best ways to provide this information to downstream users.",H99YBID1,0.2,,,,,"The data dictionary entries for both these fields point to S0106010.docx, which points to the Medicare claims processing manual but also includes a table of additional references other than the Medicare Claims Processing Manual. Can you explain how the values in the S0106010 document relate to the values in the Medicare claims processing manual? "
MCS,Billing Provider Speciality,IDR-BILL-PROV-SPEC,mcs_claims.idr_bill_prov_spec,Provider information,BILL-PROV-SPEC,This field is used to store the two-character provider’s primary specialty code.,,,,"2 characters, alphanumeric 

Refer to Spec S0106010 for general input criteria information and a listing of the acceptable entries.",H99YBID1,0.2,,,,,
MCS,Billing Provider Status Code,IDR-BILL-PROV-STATUS-CD,mcs_claims.idr_bill_prov_status_cd,Provider information,BILL-PROV-STATUS-CD,"This field carries an indicator identifying participating providers. This status code is used in calculation of workload and CPT reporting.
A participating provider is a provider who signs an agreement with Medicare accepting assignment for services. A participating provider agrees to accept the Medicare payment on a claim as payment in full, and will not charge the beneficiary for any amounts over the Medicare allowed charge.",,"Per 1450000, this value is not passed in the Phase I extract.",,"1 character, alphanumeric
N = Non-participating provider
P = Participating provider",H99YBID1,0.2,,,,,
MCS,Billing Provider Type,IDR-BILL-PROV-TYPE,mcs_claims.idr_bill_prov_type,Provider information,BILL-PROV-TYPE,This field is a two-number code that identifies the type of tax payer identification number that is on the provider’s record.,,,,"2 characters, numeric 
See Table 1, Provider Type Codes, from the MCS document S0105010, copied in tab C for convenience. ",H99YBID1,0.2,,,,,
MCS,Medicare Beneficiary Identifier,IDR-CLAIM-MBI,mcs_claims.idr_claim_mbi,Beneficiary information,CLAIM-MBI,This field carries the Medicare Beneficiary Identifier (MBI) number.,,"Specified under ""General Input Criteria"": ""This data is supplied by CMS on the MFSDB file. The acceptable values are unique to each Medicare Contractor.""",,"Format: C A AN N A AN N A A N N


Where C = 1 through 9 
A = Alphanumeric A thru Z
N = 0 thru 9
AN = Either A or N",H99YBID1,0.2,,,,FISS = MBI-NUMBER,
MCS,Claim Receipt Date,IDR-CLAIM-RECEIPT-DATE,mcs_claims.idr_claim_receipt_date,Claim processing,CLAIM-RECEIPT-DATE,This field carries the claim receipt date.,,,,Date format,H99YBID1,0.2,,,,,
MCS,Claim Type,IDR-CLAIM-TYPE,mcs_claims.idr_claim_type,Claim information,CLAIM-TYPE,This field contains a value that identifies the type of claim being processed.,,,,"1 digit 
2 = Adjustment
3 = Claim 
Space if no data value",H99YBID1,0.2,,,,"BILL-TYP-CD (comprised of LOB-CD, SERV-TYP-CD, FREQ-CD)",
MCS,Internal Claim Control Number,IDR-CLM-HD-ICN,mcs_claims.idr_clm_hd_icn,Claim information,ICN,This field contains a numeric value that identifies a claim throughout the processing cycle and allows for a linkage between the claim and the beneficiary for whom it was submitted.,,"Per the S1450000, adjustment ICNs begin with these values: 83, 96, 97, 46, 47, 48, 56, 57, 58, 66, 67, 68",N,"15 digits, alphanumeric",H99YBID1,0.2,,,,FISS = DCN,
MCS,Claim Level Indicator,IDR-CLM-LEVEL-IND,mcs_claims.idr_clm_level_ind,Claim processing,CLM-LEVEL-IND,"This field carries the claim level indicator; indicating the claim is either adjusted, original or voided.",,,,"Alphanumeric, 1 character

A = Adjusted
O = Original
V = Void

Treat as enum",H99YBID1,0.5,,,,,
MCS,Coinsurance,IDR-COINSURANCE,mcs_claims.idr_coinsurance,Billing information,COINSURANCE,"The dollar amount, per line item, that is the responsibility of the beneficiary for payment. This amount is calculated based on the claim assignment and the type of service being rendered. The beneficiary responsibility amount for applied deductible is not reflected in this field. This amount is also known as the coinsurance amount.",,,,$$$$$.¢¢,H99YBID1,0.2,,,,,
MCS,Contractor Number,IDR-CONTR-ID,mcs_claims.idr_contr_id,Claim information,IDR-CONTR-ID,This field contains the contractor number.,,"Based on the below text from the S1450000, this field refers to the claims processing contractor. 
""If a Legacy Contractor is now an A/B MAC, it would be the CMS assigned workload ID number. There are still some Legacy Contractors. They are all 5 digits long.
MCS does not house the A/B MAC/Legacy number so the workload ID will always be used.""",,"1 digit 
2 = Adjustment
3 = Claim 
Space if no data value",H99YBID1,0.2,,,,,
